,TEST,SELECTION_SCHEME,COST_MODEL,PARTITION_SIZE,MUTATION_LEVEL,MUTATION_STEP_SIZE,GRAPH_TYPE,Frontend,Optimizations,NUM_PARTS,assignment_time,Lowering,Compile,Total_time,Total_memory,assignment_cost
48,biomatch,smart_lp,hycc,5000,2,2,KaHyPar,0.024913972,0.080549248,1,1.312667359,1.326041346,1.431528586,[1.44],[0.271684],
49,biomatch,smart_lp,hycc,5000,4,4,KaHyPar,0.024714001,0.080313649,1,1.309610802,1.323168718,1.428218499,[1.43],[0.271684],
50,biomatch,smart_lp,hycc,3000,4,4,KaHyPar,0.02490026,0.08136275600000001,2,6.473388687,6.487909309,6.594192151,[6.6],[0.7487],"[511.83483500000966, 529.1469250000083, 529.1469250000083, 511.83483500000966, 511.83483500000966, 529.1469250000083, 511.83483500000966, 529.1469250000083]"
51,biomatch,css,hycc,1000,4,2,KaHyPar,0.026320655,0.082809389,1,0.909887444,0.979352449,1.088506611,[1.1],[0.500468],"[0.0, 0.0, 0.0, 0.0, 218.18473500000084, 218.18473500000084, 218.18473500000084, 218.18473500000084, 0.7570049999999999, 0.7570049999999999, 0.7570049999999999, 0.7570049999999999, 0.698445, 0.50467, 0.698445, 0.50467, 0.698445, 0.698445, 0.50467, 0.50467]"
52,biomatch,smart_lp,hycc,3000,1,4,KaHyPar,0.025221158,0.08163121200000001,2,0.485304367,0.49949583799999997,0.606366889,[0.61],[0.263344],"[529.1469250000083, 511.83483500000966]"
53,biomatch,css,hycc,3000,4,1,KaHyPar,0.024979822999999998,0.08126116600000001,1,0.7484029719999999,0.81603177,0.9222978279999999,[0.93],[0.357876],
54,biomatch,css,hycc,5000,2,1,KaHyPar,0.024853566,0.08098293499999999,1,0.752836465,0.832330298,0.938195444,[0.95],[0.356888],
55,biomatch,a+b,hycc,,,,,0.024767412,0.080977877,,0.004092660000000001,0.019258366,0.125024699,[0.12],[0.039624],
56,biomatch,css,hycc,3000,4,4,KaHyPar,0.024543719,0.08151132800000001,1,0.740790912,0.808337768,0.9144170789999999,[0.93],[0.35674],
57,biomatch,smart_glp,hycc,,,,,0.025093879,0.081214404,,1.327907107,1.342068714,1.44840305,[1.45],[0.271756],
58,biomatch,smart_lp,hycc,5000,1,4,KaHyPar,0.024695381000000002,0.081949673,1,1.327554729,1.341801455,1.448472069,[1.45],[0.271792],
59,biomatch,smart_lp,hycc,1000,1,4,KaHyPar,0.02485006,0.08120644199999999,5,0.7611550539999999,0.775774842,0.881856847,[0.88],[0.255324],"[206.17996999999784, 206.5660249999979, 203.06441499999812, 199.80413499999796, 225.36721499999737]"
