,gmwonly_lan,gmwonly_wan
0,25070.0,94544.0
1,18818.0,121700.0
2,26918.0,95024.0
3,18540.0,142310.0
4,25896.0,94056.0
5,19095.0,116400.0
6,29328.0,94735.0
7,18782.0,127810.0
8,29352.0,95043.0
9,18847.0,129680.0
10,29911.0,93917.0
11,18613.0,118580.0
12,31764.0,94504.0
13,19035.0,113470.0
14,29136.0,93740.0
15,18596.0,106300.0
16,29513.0,94199.0
17,18474.0,102790.0
18,23715.0,94231.0
19,18648.0,101930.0
