,gmwhybrid_lan,yaohybrid_wan,lan_optimized_lan,wan_optimized_wan
0,869.8000000000001,2087.4,1313.3999999999999,3240.7
1,294.27,1413.1,1102.5,2342.1
2,292.29,1370.9,1079.2,3255.3999999999996
3,311.3,1264.6,1670.4,2471.8
4,294.81,1405.8999999999999,1173.0,4042.0999999999995
5,289.82000000000005,1313.0,1142.2,2417.9
6,289.0,1529.7,1068.8,3935.0
7,291.66999999999996,1406.3000000000002,1644.0,2462.2999999999997
8,287.42,1513.3000000000002,1082.5,3909.8
9,287.38000000000005,1317.1999999999998,1679.8999999999999,2365.0
10,302.53000000000003,1393.3,1075.0,3883.2
11,288.27000000000004,1265.5,1416.4,2411.6
12,305.15999999999997,1417.0,1068.4,4059.5999999999995
13,289.21000000000004,1311.1999999999998,1512.8999999999999,2316.3
14,295.08,1330.4,1073.8000000000002,4197.0
15,304.13,1218.3,1305.9,2422.2999999999997
16,287.85,1320.3,1129.6999999999998,4288.5
17,311.64,1217.6,1678.7,2323.5
18,292.19,1470.1,1137.5,4631.0
19,329.34000000000003,1361.3999999999999,1535.5,2377.0
