,yaoonly_lan,yaoonly_wan,lan_optimized_lan,wan_optimized_wan
0,780.36,1565.7,680.8100000000001,1416.6000000000001
1,505.29999999999995,1341.6999999999998,458.33000000000004,1375.6
2,506.96,1440.7,441.85,1322.2
3,505.97999999999996,1327.0,459.72,1414.7
4,511.54999999999995,1419.8999999999999,452.6,1336.0
5,553.1,1551.7,457.28999999999996,1666.1
6,539.42,1560.8999999999999,478.03000000000003,1380.9
7,496.2,1414.9,475.56,1689.0
8,490.28,1363.3,443.09999999999997,1335.7
9,541.8,1339.3999999999999,527.01,1547.6000000000001
10,527.0200000000001,1299.1,527.2,1312.8
11,516.61,1575.1,454.86,1540.1000000000001
12,493.61,1533.1999999999998,479.58,1334.0
13,501.85999999999996,1370.5,454.27,1608.3
14,544.5,1541.9,498.09999999999997,1405.6
15,505.49999999999994,1424.5,451.46999999999997,1598.3
16,580.65,1330.8999999999999,460.54,1336.6
17,505.85999999999996,1325.0,599.3100000000001,1538.8999999999999
18,492.86,1393.6,439.78000000000003,1302.7
19,539.0899999999999,1595.2,470.58,1601.0
