,yaohybrid_lan,yaohybrid_wan,lan_optimized_lan,wan_optimized_wan
0,1822.3,2285.2000000000003,1390.3000000000002,3175.6000000000004
1,627.8399999999999,3553.5,4732.700000000001,2370.6
2,1262.7,2185.1,1464.2,2422.2999999999997
3,637.5300000000001,3799.9,6511.9,3105.7999999999997
4,1074.1000000000001,2344.3999999999996,1362.8,2748.4
5,647.1,4204.7,6351.5,2411.0
6,1072.0,2222.9,1376.8,2332.8
7,632.44,4061.3,6378.0,3086.0
8,1444.8000000000002,2139.0,1398.5,2390.0
9,634.28,3894.2000000000003,5356.099999999999,2823.9
10,1544.1000000000001,2266.7000000000003,1409.1,2390.0
11,654.06,4232.0,5394.599999999999,3276.4
12,1283.6000000000001,2286.1,1445.0,2326.2
13,630.89,4175.099999999999,6713.7,2433.8
14,1441.0,2182.2,1436.6000000000001,2602.7
15,629.5600000000001,3966.0,6931.5,2371.6
16,1365.1,2332.8,1456.7,2374.2999999999997
17,643.46,4405.0,6801.1,3056.1
18,1423.8,2250.7999999999997,1387.8999999999999,2305.2999999999997
19,635.71,4112.599999999999,6365.8,2680.5
