,yaohybrid_lan,yaohybrid_wan
0,5644.0,12613.0
1,6743.0,10006.0
2,5700.400000000001,13421.0
3,5974.0,9814.3
4,5695.9,12570.0
5,5879.5,10411.0
6,5877.0,10040.0
7,5665.4,11744.0
8,6572.2,10388.0
9,5766.7,10434.0
10,6273.7,9659.599999999999
11,5718.4,10147.0
12,5750.3,10416.0
13,6445.400000000001,13557.0
14,5672.6,10134.0
15,6284.7,10342.0
16,5778.7,13220.0
17,5707.4,10227.0
18,5851.7,13888.0
19,6466.1,9922.0
