,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,512,12,1,4,0,hycc,8365771.264000272,8365771.264000272,0.0,0.650692692,8.55751,2.13308,10.6906,8.65851,2.03103,10.6895,8708.0,725.0,0.0,0.0,0.0
1,b,biomatch,512,12,1,4,1,hycc,8365771.264000272,8365771.264000272,0.0,0.663575953,7.2656,1.88129,9.14689,7.33285,1.81278,9.14563,8708.0,725.0,0.0,0.0,0.0
2,b,biomatch,512,12,1,4,2,hycc,8365771.264000272,8365771.264000272,0.0,0.666146005,7.68009,2.0464,9.72648,7.78298,1.94096,9.72394,8708.0,725.0,0.0,0.0,0.0
3,y,biomatch,512,12,1,4,0,hycc,2292952.064000215,2292952.064000215,0.0,0.672812256,3.81356,1.65382,5.46738,3.75532,1.72356,5.47888,8708.0,725.0,0.0,0.0,0.0
4,y,biomatch,512,12,1,4,1,hycc,2292952.064000215,2292952.064000215,0.0,0.684377587,3.84751,1.69634,5.54385,3.85238,1.70012,5.5525,8708.0,725.0,0.0,0.0,0.0
5,y,biomatch,512,12,1,4,2,hycc,2292952.064000215,2292952.064000215,0.0,0.686114514,3.80992,1.69415,5.50407,3.83468,1.67724,5.51192,8708.0,725.0,0.0,0.0,0.0
6,a+b,biomatch,512,12,1,4,0,hycc,4590910.543999975,3734849.0239999914,856061.5199999831,0.6911787060000001,0.791307,0.105952,0.897259,0.77783,0.118102,0.895932,8708.0,725.0,0.0,0.0,0.0
7,a+b,biomatch,512,12,1,4,1,hycc,4590910.543999975,3734849.0239999914,856061.5199999835,0.669544024,0.849642,0.11788,0.967522,0.851802,0.114234,0.966036,8708.0,725.0,0.0,0.0,0.0
8,a+b,biomatch,512,12,1,4,2,hycc,4590910.543999975,3734849.0239999914,856061.5199999828,0.6488152380000001,0.77846,0.122494,0.900954,0.782608,0.117654,0.900262,8708.0,725.0,0.0,0.0,0.0
9,a+y,biomatch,512,12,1,4,0,hycc,4206985.955999968,1583062.0159998538,2623923.940000107,0.656693289,4.32922,1.79568,6.1249,4.29056,1.84218,6.13274,8708.0,725.0,0.0,0.0,0.0
10,a+y,biomatch,512,12,1,4,1,hycc,4206985.955999971,1583062.0159998538,2623923.940000109,0.663048125,4.32267,1.84283,6.1655,4.43923,1.73363,6.17286,8708.0,725.0,0.0,0.0,0.0
11,a+y,biomatch,512,12,1,4,2,hycc,4206985.955999967,1583062.0159998538,2623923.9400001043,0.676971471,4.27329,1.83974,6.11303,4.40347,1.71763,6.1211,8708.0,725.0,0.0,0.0,0.0
12,greedy,biomatch,512,12,1,4,0,hycc,4716907.787999832,1581612.0319998565,3135295.755999977,0.674880419,4.2994,1.86411,6.16351,4.45311,1.71398,6.16708,8708.0,725.0,0.0,0.0,0.0
13,greedy,biomatch,512,12,1,4,1,hycc,4716907.7879998265,1581612.0319998565,3135295.75599998,0.665883708,4.4889,1.76485,6.25375,4.37858,1.87957,6.25816,8708.0,725.0,0.0,0.0,0.0
14,greedy,biomatch,512,12,1,4,2,hycc,4716907.7879998265,1581612.0319998565,3135295.7559999796,0.678302744,4.36709,1.86183,6.22892,4.38463,1.84885,6.23348,8708.0,725.0,0.0,0.0,0.0
15,lp,biomatch,512,12,1,4,0,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.673251127,0.368489,0.0790629,0.447552,0.365051,0.0806723,0.445724,8708.0,725.0,0.753040669,0.038750298999999995,0.067546229
16,lp,biomatch,512,12,1,4,1,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.6346440569999999,0.368476,0.0814644,0.44994,0.367502,0.0804766,0.447979,8708.0,725.0,0.7328212049999999,0.041923777,0.061223794
17,lp,biomatch,512,12,1,4,2,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.682293109,0.380785,0.0919874,0.472773,0.393686,0.0792946,0.47298,8708.0,725.0,0.755837687,0.040369242,0.068634292
18,lp+nm,biomatch,512,12,1,4,0,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.664791834,0.41977,0.0812433,0.501013,0.405806,0.0924577,0.498263,8708.0,725.0,1.54852697,0.0,0.062809275
19,lp+nm,biomatch,512,12,1,4,1,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.645641741,0.423869,0.0812884,0.505157,0.410096,0.0928678,0.502964,8708.0,725.0,1.55330939,0.0,0.068096113
20,lp+nm,biomatch,512,12,1,4,2,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.651945769,0.423569,0.0784907,0.50206,0.407233,0.0927102,0.499943,8708.0,725.0,1.545061799,0.0,0.06291851400000001
21,glp,biomatch,512,12,1,4,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.678179265,0.403918,0.0901561,0.494074,0.417096,0.0771705,0.494267,8708.0,725.0,18.592254454,0.0,0.0
22,glp,biomatch,512,12,1,4,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.687531935,0.413147,0.0781148,0.491262,0.399241,0.0893677,0.488609,8708.0,725.0,18.554676051,0.0,0.0
23,glp,biomatch,512,12,1,4,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.651231673,0.412828,0.0787783,0.491606,0.3993,0.0896827,0.488982,8708.0,725.0,18.524178827,0.0,0.0
