,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,8,2,2,0,hycc,16731542.52799736,16731542.52799736,0.0,2.318464701,10.5694,3.90471,14.4741,10.6628,3.80863,14.4714,17412.0,2176.0,0.0,0.0,0.0
1,b,biomatch,1024,8,2,2,1,hycc,16731542.52799736,16731542.52799736,0.0,2.346249346,10.8873,3.95825,14.8455,10.9276,3.9177,14.8452,17412.0,2176.0,0.0,0.0,0.0
2,b,biomatch,1024,8,2,2,2,hycc,16731542.52799736,16731542.52799736,0.0,2.332552399,10.6526,3.97868,14.6312,10.7376,3.89387,14.6314,17412.0,2176.0,0.0,0.0,0.0
3,y,biomatch,1024,8,2,2,0,hycc,4585904.128000693,4585904.128000693,0.0,2.396170257,6.07411,3.5699,9.64401,6.06253,3.5945,9.65703,17412.0,2176.0,0.0,0.0,0.0
4,y,biomatch,1024,8,2,2,1,hycc,4585904.128000693,4585904.128000693,0.0,2.341950499,5.45373,3.60194,9.05567,5.56816,3.49856,9.06672,17412.0,2176.0,0.0,0.0,0.0
5,y,biomatch,1024,8,2,2,2,hycc,4585904.128000693,4585904.128000693,0.0,2.333912074,5.53086,3.53382,9.06469,5.50056,3.5768,9.07737,17412.0,2176.0,0.0,0.0,0.0
6,a+b,biomatch,1024,8,2,2,0,hycc,9180478.031999279,7469698.047999324,1710779.9839999585,2.339790088,1.24564,0.209002,1.45464,1.23057,0.221554,1.45213,17412.0,2176.0,0.0,0.0,0.0
7,a+b,biomatch,1024,8,2,2,1,hycc,9180478.031999283,7469698.047999324,1710779.9839999573,2.330179786,1.22295,0.212856,1.43581,1.21107,0.222686,1.43376,17412.0,2176.0,0.0,0.0,0.0
8,a+b,biomatch,1024,8,2,2,2,hycc,9180478.03199928,7469698.047999324,1710779.9839999564,2.315282432,1.25224,0.23892,1.49116,1.2553,0.234752,1.49005,17412.0,2176.0,0.0,0.0,0.0
9,a+y,biomatch,1024,8,2,2,0,hycc,8412663.524000369,3166124.03199997,5246539.492000406,2.376356679,6.2334,3.82394,10.0573,6.35819,3.70883,10.067,17412.0,2176.0,0.0,0.0,0.0
10,a+y,biomatch,1024,8,2,2,1,hycc,8412663.524000345,3166124.03199997,5246539.492000392,2.369522536,6.20298,3.7524,9.95538,6.16149,3.80625,9.96774,17412.0,2176.0,0.0,0.0,0.0
11,a+y,biomatch,1024,8,2,2,2,hycc,8412663.524000376,3166124.03199997,5246539.492000395,2.337172736,6.44366,3.70359,10.1473,6.32387,3.83608,10.1599,17412.0,2176.0,0.0,0.0,0.0
12,greedy,biomatch,1024,8,2,2,0,hycc,9432791.308000743,3163224.064000005,6269567.244000716,2.335869297,6.56908,3.8651,10.4342,6.69626,3.74111,10.4374,17412.0,2176.0,0.0,0.0,0.0
13,greedy,biomatch,1024,8,2,2,1,hycc,9432791.308000734,3163224.064000005,6269567.2440007655,2.342049423,6.5325,3.73505,10.2676,6.47508,3.7947,10.2698,17412.0,2176.0,0.0,0.0,0.0
14,greedy,biomatch,1024,8,2,2,2,hycc,9432791.308000758,3163224.064000005,6269567.24400075,2.328518156,6.40254,3.86457,10.2671,6.51641,3.75103,10.2674,17412.0,2176.0,0.0,0.0,0.0
15,lp,biomatch,1024,8,2,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.362580459,0.49297,0.154905,0.647875,0.491354,0.155901,0.647255,17412.0,2176.0,2.502949044,0.09427266799999999,0.096583076
16,lp,biomatch,1024,8,2,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.330144411,0.504925,0.174003,0.678927,0.505311,0.1728,0.678111,17412.0,2176.0,2.510936501,0.07541916,0.097037194
17,lp,biomatch,1024,8,2,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.330694953,0.49551,0.156719,0.652228,0.494536,0.156195,0.650731,17412.0,2176.0,2.566121206,0.075607636,0.097973513
18,lp+nm,biomatch,1024,8,2,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.34272494,0.525852,0.155647,0.681499,0.504704,0.174641,0.679345,17412.0,2176.0,4.224707605,0.0,0.09610133500000001
19,lp+nm,biomatch,1024,8,2,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.330876762,0.499571,0.175907,0.675478,0.52155,0.154426,0.675977,17412.0,2176.0,4.236036184,0.0,0.09815841
20,lp+nm,biomatch,1024,8,2,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.328637526,0.517948,0.155886,0.673834,0.497527,0.174031,0.671558,17412.0,2176.0,4.22687852,0.0,0.094586978
21,glp,biomatch,1024,8,2,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.368663172,0.512457,0.156035,0.668492,0.493289,0.172701,0.665991,17412.0,2176.0,29.200380098,0.0,0.0
22,glp,biomatch,1024,8,2,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.324895417,0.493073,0.182782,0.675855,0.490588,0.184702,0.67529,17412.0,2176.0,29.29410486,0.0,0.0
23,glp,biomatch,1024,8,2,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.316777436,0.513456,0.155343,0.668798,0.493003,0.17349,0.666493,17412.0,2176.0,29.16759202,0.0,0.0
