,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,12,1,2,0,hycc,16731542.52799736,16731542.52799736,0.0,2.318496093,10.4109,3.95199,14.3629,10.5523,3.80764,14.3599,17412.0,1451.0,0.0,0.0,0.0
1,b,biomatch,1024,12,1,2,1,hycc,16731542.52799736,16731542.52799736,0.0,2.326215948,10.676,3.89345,14.5695,10.6401,3.92844,14.5686,17412.0,1451.0,0.0,0.0,0.0
2,b,biomatch,1024,12,1,2,2,hycc,16731542.52799736,16731542.52799736,0.0,2.35907541,10.5836,3.94817,14.5317,10.6951,3.83552,14.5306,17412.0,1451.0,0.0,0.0,0.0
3,y,biomatch,1024,12,1,2,0,hycc,4585904.128000693,4585904.128000693,0.0,2.339817682,5.49528,3.52633,9.02161,5.44486,3.58836,9.03322,17412.0,1451.0,0.0,0.0,0.0
4,y,biomatch,1024,12,1,2,1,hycc,4585904.128000693,4585904.128000693,0.0,2.36767867,5.44433,3.60797,9.0523,5.55713,3.5053,9.06243,17412.0,1451.0,0.0,0.0,0.0
5,y,biomatch,1024,12,1,2,2,hycc,4585904.128000693,4585904.128000693,0.0,2.327859714,5.60122,3.56039,9.16162,5.58408,3.59192,9.176,17412.0,1451.0,0.0,0.0,0.0
6,a+b,biomatch,1024,12,1,2,0,hycc,9180478.031999283,7469698.047999324,1710779.9839999557,2.322779106,1.23891,0.204649,1.44356,1.22336,0.217863,1.44122,17412.0,1451.0,0.0,0.0,0.0
7,a+b,biomatch,1024,12,1,2,1,hycc,9180478.03199928,7469698.047999324,1710779.983999958,2.348861994,1.2507,0.206941,1.45764,1.2367,0.218613,1.45531,17412.0,1451.0,0.0,0.0,0.0
8,a+b,biomatch,1024,12,1,2,2,hycc,9180478.03199928,7469698.047999324,1710779.983999956,2.337324941,1.21483,0.232127,1.44696,1.24118,0.205598,1.44678,17412.0,1451.0,0.0,0.0,0.0
9,a+y,biomatch,1024,12,1,2,0,hycc,8412663.524000378,3166124.03199997,5246539.492000393,2.360633796,6.49413,3.67931,10.1734,6.33039,3.85381,10.1842,17412.0,1451.0,0.0,0.0,0.0
10,a+y,biomatch,1024,12,1,2,1,hycc,8412663.524000365,3166124.03199997,5246539.492000401,2.338604377,6.02894,3.80855,9.83749,6.13819,3.71035,9.84854,17412.0,1451.0,0.0,0.0,0.0
11,a+y,biomatch,1024,12,1,2,2,hycc,8412663.524000354,3166124.03199997,5246539.4920004,2.329002306,6.21955,3.76152,9.98107,6.21265,3.78392,9.99656,17412.0,1451.0,0.0,0.0,0.0
12,greedy,biomatch,1024,12,1,2,0,hycc,9432791.308000758,3163224.064000005,6269567.24400077,2.35090409,6.39265,3.73171,10.1244,6.30227,3.82618,10.1284,17412.0,1451.0,0.0,0.0,0.0
13,greedy,biomatch,1024,12,1,2,1,hycc,9432791.308000766,3163224.064000005,6269567.244000753,2.378595037,6.74542,3.69288,10.4383,6.62727,3.8112,10.4385,17412.0,1451.0,0.0,0.0,0.0
14,greedy,biomatch,1024,12,1,2,2,hycc,9432791.308000777,3163224.064000005,6269567.244000738,2.359871995,6.73075,3.65861,10.3894,6.58895,3.80209,10.391,17412.0,1451.0,0.0,0.0,0.0
15,lp,biomatch,1024,12,1,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.313350275,0.49197,0.158409,0.650379,0.492958,0.156993,0.649951,17412.0,1451.0,1.013027197,0.07286450700000001,0.09524526400000001
16,lp,biomatch,1024,12,1,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.347087143,0.458825,0.155449,0.614274,0.458094,0.154557,0.612651,17412.0,1451.0,1.003315184,0.071498956,0.092460448
17,lp,biomatch,1024,12,1,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.311698238,0.464633,0.157489,0.622123,0.464453,0.155789,0.620242,17412.0,1451.0,0.998364252,0.07279401099999999,0.08652726599999999
18,lp+nm,biomatch,1024,12,1,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.342991069,0.514423,0.155191,0.669614,0.494122,0.173808,0.66793,17412.0,1451.0,3.499010677,0.0,0.08708699900000001
19,lp+nm,biomatch,1024,12,1,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.302507193,0.520547,0.155787,0.676334,0.501147,0.172968,0.674115,17412.0,1451.0,3.504037447,0.0,0.08839224
20,lp+nm,biomatch,1024,12,1,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.337675691,0.523811,0.153439,0.67725,0.500356,0.1748,0.675157,17412.0,1451.0,3.503902588,0.0,0.086732237
21,glp,biomatch,1024,12,1,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.304655005,0.516106,0.153228,0.669333,0.49409,0.172896,0.666986,17412.0,1451.0,28.949274833,0.0,0.0
22,glp,biomatch,1024,12,1,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.306951589,0.540614,0.151792,0.692405,0.518442,0.171856,0.690298,17412.0,1451.0,28.783181618,0.0,0.0
23,glp,biomatch,1024,12,1,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.316380518,0.517788,0.155154,0.672942,0.497711,0.172935,0.670647,17412.0,1451.0,28.94175492,0.0,0.0
