,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,256,4,2,4,0,hycc,4182885.631999827,4182885.631999827,0.0,0.206685935,3.24054,0.933672,4.17421,3.26499,0.908153,4.17315,4356.0,1089.0,0.0,0.0,0.0
1,b,biomatch,256,4,2,4,1,hycc,4182885.631999827,4182885.631999827,0.0,0.201851082,3.38889,0.897023,4.28591,3.392,0.893575,4.28558,4356.0,1089.0,0.0,0.0,0.0
2,b,biomatch,256,4,2,4,2,hycc,4182885.631999827,4182885.631999827,0.0,0.206665055,3.37348,0.905495,4.27897,3.36588,0.911174,4.27706,4356.0,1089.0,0.0,0.0,0.0
3,y,biomatch,256,4,2,4,0,hycc,1146476.03199999,1146476.03199999,0.0,0.237184312,1.86955,0.884859,2.75441,1.91504,0.838085,2.75312,4356.0,1089.0,0.0,0.0,0.0
4,y,biomatch,256,4,2,4,1,hycc,1146476.03199999,1146476.03199999,0.0,0.238867499,1.66331,0.862001,2.52532,1.69896,0.824334,2.52329,4356.0,1089.0,0.0,0.0,0.0
5,y,biomatch,256,4,2,4,2,hycc,1146476.03199999,1146476.03199999,0.0,0.202342035,1.89576,0.907699,2.80346,1.97833,0.824277,2.80261,4356.0,1089.0,0.0,0.0,0.0
6,a+b,biomatch,256,4,2,4,0,hycc,2296126.7999999365,1867424.5119999296,428702.28800000687,0.206119978,0.568158,0.0566218,0.62478,0.566816,0.0554875,0.622304,4356.0,1089.0,0.0,0.0,0.0
7,a+b,biomatch,256,4,2,4,1,hycc,2296126.7999999365,1867424.5119999296,428702.28800000646,0.24162404799999998,0.526704,0.0625058,0.58921,0.534102,0.0543088,0.588411,4356.0,1089.0,0.0,0.0,0.0
8,a+b,biomatch,256,4,2,4,2,hycc,2296126.7999999365,1867424.5119999296,428702.2880000067,0.252731798,0.513685,0.0627352,0.57642,0.523029,0.0536008,0.57663,4356.0,1089.0,0.0,0.0,0.0
9,a+y,biomatch,256,4,2,4,0,hycc,2104147.171999996,791531.0079999665,1312616.1640000287,0.211183211,2.16875,1.14393,3.31268,2.21781,1.09546,3.31327,4356.0,1089.0,0.0,0.0,0.0
10,a+y,biomatch,256,4,2,4,1,hycc,2104147.171999995,791531.0079999665,1312616.1640000273,0.21495852199999999,2.20989,0.924147,3.13404,2.19686,0.935865,3.13273,4356.0,1089.0,0.0,0.0,0.0
11,a+y,biomatch,256,4,2,4,2,hycc,2104147.1719999965,791531.0079999665,1312616.1640000257,0.224458048,2.26555,0.956693,3.22225,2.28973,0.931531,3.22126,4356.0,1089.0,0.0,0.0,0.0
12,greedy,biomatch,256,4,2,4,0,hycc,2358966.0279999976,790806.0159999627,1568160.0120000327,0.237787366,2.30207,0.920278,3.22234,2.2658,0.955316,3.22112,4356.0,1089.0,0.0,0.0,0.0
13,greedy,biomatch,256,4,2,4,1,hycc,2358966.027999992,790806.0159999627,1568160.0120000355,0.258480694,2.38529,0.958361,3.34365,2.43936,0.902194,3.34155,4356.0,1089.0,0.0,0.0,0.0
14,greedy,biomatch,256,4,2,4,2,hycc,2358966.027999992,790806.0159999627,1568160.0120000325,0.241518749,2.15048,0.96143,3.11191,2.19508,0.915671,3.11075,4356.0,1089.0,0.0,0.0,0.0
15,lp,biomatch,256,4,2,4,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20238668799999998,0.281254,0.0383124,0.319566,0.278024,0.0398101,0.317834,4356.0,1089.0,0.7928870859999999,0.023575395,0.037820907
16,lp,biomatch,256,4,2,4,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.208294521,0.273607,0.0411214,0.314728,0.272833,0.0407307,0.313563,4356.0,1089.0,0.768718134,0.024572581,0.038894174
17,lp,biomatch,256,4,2,4,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.25057620399999997,0.288347,0.046029,0.334376,0.293138,0.040689,0.333827,4356.0,1089.0,0.766146216,0.025781069,0.037840021
18,lp+nm,biomatch,256,4,2,4,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.241699406,0.336349,0.0407868,0.377136,0.32992,0.0450026,0.374922,4356.0,1089.0,1.100685024,0.0,0.039418581
19,lp+nm,biomatch,256,4,2,4,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.206419127,0.320041,0.0412186,0.36126,0.312682,0.0462114,0.358893,4356.0,1089.0,1.097551892,0.0,0.037593184
20,lp+nm,biomatch,256,4,2,4,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20630135100000002,0.344637,0.0452329,0.38987,0.348985,0.0403049,0.38929,4356.0,1089.0,1.103936867,0.0,0.039659523
21,glp,biomatch,256,4,2,4,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.208223817,0.338953,0.0470998,0.386053,0.337503,0.0479264,0.385429,4356.0,1089.0,4.788617776,0.0,0.0
22,glp,biomatch,256,4,2,4,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.210348399,0.345409,0.0383224,0.383732,0.335843,0.045749,0.381592,4356.0,1089.0,4.790429254,0.0,0.0
23,glp,biomatch,256,4,2,4,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.21045591300000002,0.341017,0.0385883,0.379605,0.331474,0.045928,0.377402,4356.0,1089.0,4.794210894,0.0,0.0
