,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,512,8,4,2,0,hycc,8365771.264000272,8365771.264000272,0.0,0.649403461,7.73238,1.98859,9.72096,7.81578,1.90362,9.7194,8708.0,1088.0,0.0,0.0,0.0
1,b,biomatch,512,8,4,2,1,hycc,8365771.264000272,8365771.264000272,0.0,0.655640506,6.19756,1.93211,8.12967,6.27037,1.85836,8.12873,8708.0,1088.0,0.0,0.0,0.0
2,b,biomatch,512,8,4,2,2,hycc,8365771.264000272,8365771.264000272,0.0,0.685199842,7.44563,2.13242,9.57805,7.513,2.06475,9.57774,8708.0,1088.0,0.0,0.0,0.0
3,y,biomatch,512,8,4,2,0,hycc,2292952.064000215,2292952.064000215,0.0,0.648259263,3.84998,1.64004,5.49002,3.78268,1.71033,5.49301,8708.0,1088.0,0.0,0.0,0.0
4,y,biomatch,512,8,4,2,1,hycc,2292952.064000215,2292952.064000215,0.0,0.6449477180000001,3.91609,1.67824,5.59433,3.84359,1.75361,5.5972,8708.0,1088.0,0.0,0.0,0.0
5,y,biomatch,512,8,4,2,2,hycc,2292952.064000215,2292952.064000215,0.0,0.641692068,4.00335,1.64306,5.64641,3.89537,1.75289,5.64826,8708.0,1088.0,0.0,0.0,0.0
6,a+b,biomatch,512,8,4,2,0,hycc,4590910.543999976,3734849.0239999914,856061.5199999833,0.654804909,0.814724,0.118838,0.933562,0.817209,0.115844,0.933054,8708.0,1088.0,0.0,0.0,0.0
7,a+b,biomatch,512,8,4,2,1,hycc,4590910.543999975,3734849.0239999914,856061.5199999841,0.660614447,0.795897,0.119827,0.915724,0.796529,0.118412,0.914942,8708.0,1088.0,0.0,0.0,0.0
8,a+b,biomatch,512,8,4,2,2,hycc,4590910.543999976,3734849.0239999914,856061.5199999841,0.646180112,0.784599,0.0991297,0.883729,0.769911,0.111868,0.881778,8708.0,1088.0,0.0,0.0,0.0
9,a+y,biomatch,512,8,4,2,0,hycc,4206985.955999967,1583062.0159998538,2623923.9400001154,0.7281644549999999,4.19664,1.78751,5.98416,4.2053,1.78419,5.98949,8708.0,1088.0,0.0,0.0,0.0
10,a+y,biomatch,512,8,4,2,1,hycc,4206985.955999965,1583062.0159998538,2623923.9400001094,0.644034059,4.20922,1.79336,6.00259,4.20601,1.80018,6.00619,8708.0,1088.0,0.0,0.0,0.0
11,a+y,biomatch,512,8,4,2,2,hycc,4206985.955999963,1583062.0159998538,2623923.940000113,0.705838111,4.01803,1.79609,5.81412,4.006,1.81177,5.81777,8708.0,1088.0,0.0,0.0,0.0
12,greedy,biomatch,512,8,4,2,0,hycc,4716907.787999833,1581612.0319998565,3135295.7559999726,0.6714880950000001,4.26921,1.8101,6.07931,4.35006,1.73227,6.08233,8708.0,1088.0,0.0,0.0,0.0
13,greedy,biomatch,512,8,4,2,1,hycc,4716907.787999823,1581612.0319998565,3135295.755999972,0.660289362,5.18132,1.82968,7.011,5.27995,1.73462,7.01457,8708.0,1088.0,0.0,0.0,0.0
14,greedy,biomatch,512,8,4,2,2,hycc,4716907.787999825,1581612.0319998565,3135295.7559999707,0.6680493430000001,4.27133,1.80692,6.07825,4.3248,1.75671,6.08151,8708.0,1088.0,0.0,0.0,0.0
15,lp,biomatch,512,8,4,2,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.667519969,0.340527,0.0771509,0.417678,0.341376,0.0762094,0.417585,8708.0,1088.0,1.173034399,0.038281064999999996,0.065716771
16,lp,biomatch,512,8,4,2,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6325498270000001,0.337171,0.0777278,0.414899,0.337098,0.0771825,0.414281,8708.0,1088.0,1.142799062,0.038430485,0.061909367
17,lp,biomatch,512,8,4,2,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6451255730000001,0.328667,0.0732952,0.401962,0.323639,0.0768642,0.400503,8708.0,1088.0,1.125894486,0.037817918,0.05908482
18,lp+nm,biomatch,512,8,4,2,0,hycc,1852463.1029998588,1595396.75099986,257066.35199999882,0.6352948199999999,0.41933,0.0806035,0.499933,0.406535,0.0908924,0.497427,8708.0,1088.0,1.777841551,0.0,0.058660424999999995
19,lp+nm,biomatch,512,8,4,2,1,hycc,1852463.1029998588,1595396.75099986,257066.35199999882,0.680989381,0.405619,0.0763421,0.481961,0.392276,0.0885977,0.480874,8708.0,1088.0,1.793150734,0.0,0.068925372
20,lp+nm,biomatch,512,8,4,2,2,hycc,1852463.1029998588,1595396.75099986,257066.35199999882,0.688954527,0.411601,0.0768252,0.488426,0.398036,0.0888763,0.486913,8708.0,1088.0,1.778174258,0.0,0.068039078
21,glp,biomatch,512,8,4,2,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6568671,0.426811,0.0771822,0.503993,0.408541,0.0930571,0.501598,8708.0,1088.0,18.78136223,0.0,0.0
22,glp,biomatch,512,8,4,2,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.67228248,0.412521,0.0759677,0.488489,0.397107,0.0891585,0.486266,8708.0,1088.0,18.511719275,0.0,0.0
23,glp,biomatch,512,8,4,2,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.648502737,0.409876,0.0764825,0.486359,0.395354,0.0887665,0.484121,8708.0,1088.0,18.470634239,0.0,0.0
