,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,2048,4,1,4,0,hycc,33463085.056001026,33463085.056001026,0.0,10.766276159,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,8705.0,0.0,0.0,0.0
1,b,biomatch,2048,4,1,4,1,hycc,33463085.056001026,33463085.056001026,0.0,10.472760083,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,8705.0,0.0,0.0,0.0
2,b,biomatch,2048,4,1,4,2,hycc,33463085.056001026,33463085.056001026,0.0,10.625656958,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,8705.0,0.0,0.0,0.0
3,y,biomatch,2048,4,1,4,0,hycc,9171808.255998256,9171808.255998256,0.0,10.624362593,10.6486,7.26018,17.9088,11.0638,6.85032,17.9141,34820.0,8705.0,0.0,0.0,0.0
4,y,biomatch,2048,4,1,4,1,hycc,9171808.255998256,9171808.255998256,0.0,10.710935939,10.7251,7.39543,18.1205,10.9006,7.22471,18.1253,34820.0,8705.0,0.0,0.0,0.0
5,y,biomatch,2048,4,1,4,2,hycc,9171808.255998256,9171808.255998256,0.0,10.718470101,10.6643,7.2953,17.9596,11.106,6.8582,17.9642,34820.0,8705.0,0.0,0.0,0.0
6,a+b,biomatch,2048,4,1,4,0,hycc,18359613.008002706,14939396.096002772,3420216.911999932,10.411716447,2.20985,0.599034,2.80888,2.19941,0.60924,2.80865,34820.0,8705.0,0.0,0.0,0.0
7,a+b,biomatch,2048,4,1,4,1,hycc,18359613.008002702,14939396.096002772,3420216.9119999316,10.440574168,2.03313,0.438566,2.4717,2.07269,0.397936,2.47063,34820.0,8705.0,0.0,0.0,0.0
8,a+b,biomatch,2048,4,1,4,2,hycc,18359613.008002706,14939396.096002772,3420216.9119999297,10.465988144,2.12681,0.594027,2.72084,2.18547,0.535591,2.72107,34820.0,8705.0,0.0,0.0,0.0
9,a+y,biomatch,2048,4,1,4,0,hycc,16824018.659999195,6332248.063999869,10491770.595999364,10.521426798,12.4929,7.30418,19.7971,11.9173,7.88871,19.806,34820.0,8705.0,0.0,0.0,0.0
10,a+y,biomatch,2048,4,1,4,1,hycc,16824018.659999147,6332248.063999869,10491770.595999328,10.654730755,11.8195,7.59531,19.4149,11.8162,7.6034,19.4196,34820.0,8705.0,0.0,0.0,0.0
11,a+y,biomatch,2048,4,1,4,2,hycc,16824018.659999207,6332248.063999869,10491770.595999379,10.53312568,11.8854,7.63853,19.5239,12.1102,7.41957,19.5297,34820.0,8705.0,0.0,0.0,0.0
12,greedy,biomatch,2048,4,1,4,0,hycc,18864558.34800188,6326448.12800029,12538110.220001567,10.65412097,12.2506,7.56216,19.8128,12.3301,7.4868,19.8169,34820.0,8705.0,0.0,0.0,0.0
13,greedy,biomatch,2048,4,1,4,1,hycc,18864558.34800182,6326448.12800029,12538110.220001511,10.634908433,12.4241,8.11352,20.5376,12.6565,7.89107,20.5475,34820.0,8705.0,0.0,0.0,0.0
14,greedy,biomatch,2048,4,1,4,2,hycc,18864558.348001905,6326448.12800029,12538110.22000165,10.399313085,12.6029,7.90497,20.5079,13.0966,7.41708,20.5137,34820.0,8705.0,0.0,0.0,0.0
15,lp,biomatch,2048,4,1,4,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.427094281,0.692831,0.31426,1.00709,0.675935,0.330237,1.00617,34820.0,8705.0,18.500182452,0.174253951,0.14203207699999998
16,lp,biomatch,2048,4,1,4,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.401606831,0.69905,0.343783,1.04283,0.701139,0.341648,1.04279,34820.0,8705.0,18.526938243,0.18044866099999998,0.14396189
17,lp,biomatch,2048,4,1,4,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.526522544,0.681232,0.334937,1.01617,0.704285,0.311058,1.01534,34820.0,8705.0,18.563910323,0.17917372,0.14417444000000001
18,lp+nm,biomatch,2048,4,1,4,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.599523535,0.698739,0.344721,1.04346,0.724348,0.318994,1.04334,34820.0,8705.0,24.731285785,0.0,0.14582340600000002
19,lp+nm,biomatch,2048,4,1,4,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.569241521,0.684657,0.335636,1.02029,0.709157,0.311586,1.02074,34820.0,8705.0,25.001297715,0.0,0.140924284
20,lp+nm,biomatch,2048,4,1,4,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.4213674,0.747522,0.314273,1.0618,0.719549,0.341322,1.06087,34820.0,8705.0,24.818067034,0.0,0.143806903
21,glp,biomatch,2048,4,1,4,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.735333957,0.7146,0.340774,1.05537,0.737786,0.31798,1.05577,34820.0,8705.0,257.917152829,0.0,0.0
22,glp,biomatch,2048,4,1,4,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.619120856,0.668967,0.348826,1.01779,0.669047,0.347824,1.01687,34820.0,8705.0,260.788180638,0.0,0.0
23,glp,biomatch,2048,4,1,4,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.738938143,0.705098,0.334101,1.0392,0.730232,0.309365,1.0396,34820.0,8705.0,257.710243769,0.0,0.0
