,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,2048,8,1,2,0,hycc,33463085.056001026,33463085.056001026,0.0,10.47869802,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,4352.0,0.0,0.0,0.0
1,b,biomatch,2048,8,1,2,1,hycc,33463085.056001026,33463085.056001026,0.0,10.598109664,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,4352.0,0.0,0.0,0.0
2,b,biomatch,2048,8,1,2,2,hycc,33463085.056001026,33463085.056001026,0.0,10.799254374,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,4352.0,0.0,0.0,0.0
3,y,biomatch,2048,8,1,2,0,hycc,9171808.255998256,9171808.255998256,0.0,10.79517227,11.0546,6.912,17.9666,10.7284,7.24412,17.9726,34820.0,4352.0,0.0,0.0,0.0
4,y,biomatch,2048,8,1,2,1,hycc,9171808.255998256,9171808.255998256,0.0,10.440526606,10.8802,7.30124,18.1814,11.0526,7.13338,18.1859,34820.0,4352.0,0.0,0.0,0.0
5,y,biomatch,2048,8,1,2,2,hycc,9171808.255998256,9171808.255998256,0.0,10.628857416,10.8713,7.3182,18.1896,11.3298,6.86934,18.1992,34820.0,4352.0,0.0,0.0,0.0
6,a+b,biomatch,2048,8,1,2,0,hycc,18359613.0080027,14939396.096002772,3420216.911999929,10.855932907,2.21622,0.488074,2.70429,2.19169,0.50946,2.70115,34820.0,4352.0,0.0,0.0,0.0
7,a+b,biomatch,2048,8,1,2,1,hycc,18359613.008002706,14939396.096002772,3420216.9119999316,10.60484332,1.96317,0.444584,2.40776,1.97039,0.435644,2.40604,34820.0,4352.0,0.0,0.0,0.0
8,a+b,biomatch,2048,8,1,2,2,hycc,18359613.008002702,14939396.096002772,3420216.911999938,10.564374617,2.21949,0.589485,2.80898,2.20978,0.599147,2.80892,34820.0,4352.0,0.0,0.0,0.0
9,a+y,biomatch,2048,8,1,2,0,hycc,16824018.659999236,6332248.063999869,10491770.595999327,10.557125637,12.1742,7.25517,19.4293,11.9586,7.47566,19.4342,34820.0,4352.0,0.0,0.0,0.0
10,a+y,biomatch,2048,8,1,2,1,hycc,16824018.659999244,6332248.063999869,10491770.59599936,10.739118166,12.0226,7.57499,19.5976,11.9526,7.65114,19.6038,34820.0,4352.0,0.0,0.0,0.0
11,a+y,biomatch,2048,8,1,2,2,hycc,16824018.659999214,6332248.063999869,10491770.595999347,10.453901735,12.0046,7.44075,19.4454,12.097,7.35764,19.4546,34820.0,4352.0,0.0,0.0,0.0
12,greedy,biomatch,2048,8,1,2,0,hycc,18864558.348001722,6326448.12800029,12538110.220001517,10.772387375,12.87,7.45277,20.3228,12.4675,7.86128,20.3288,34820.0,4352.0,0.0,0.0,0.0
13,greedy,biomatch,2048,8,1,2,1,hycc,18864558.348001916,6326448.12800029,12538110.220001496,10.636417898,12.5943,7.66397,20.2583,12.552,7.71064,20.2626,34820.0,4352.0,0.0,0.0,0.0
14,greedy,biomatch,2048,8,1,2,2,hycc,18864558.34800198,6326448.12800029,12538110.220001562,10.367044018,13.0037,7.43524,20.4389,12.4976,7.94246,20.44,34820.0,4352.0,0.0,0.0,0.0
15,lp,biomatch,2048,8,1,2,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.576073209,0.696435,0.311491,1.00793,0.6731,0.333426,1.00653,34820.0,4352.0,7.701620932,0.185422803,0.157349139
16,lp,biomatch,2048,8,1,2,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.560596996,0.73045,0.35114,1.08159,0.743219,0.338304,1.08152,34820.0,4352.0,7.6359304,0.186082103,0.156696951
17,lp,biomatch,2048,8,1,2,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.269256587,0.667236,0.347539,1.01477,0.665923,0.348355,1.01428,34820.0,4352.0,7.644344701,0.18630023299999998,0.154352831
18,lp+nm,biomatch,2048,8,1,2,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.871134633,0.706237,0.313265,1.0195,0.680644,0.336417,1.01706,34820.0,4352.0,14.076903568,0.0,0.153924332
19,lp+nm,biomatch,2048,8,1,2,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.889711658,0.69893,0.31203,1.01096,0.676769,0.331565,1.00833,34820.0,4352.0,14.0872914,0.0,0.161112636
20,lp+nm,biomatch,2048,8,1,2,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.874305801,0.706251,0.308894,1.01515,0.675219,0.337796,1.01302,34820.0,4352.0,14.090677755,0.0,0.15304516799999998
21,glp,biomatch,2048,8,1,2,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.849326895,0.704242,0.313204,1.01745,0.679994,0.336435,1.01643,34820.0,4352.0,270.989137554,0.0,0.0
22,glp,biomatch,2048,8,1,2,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.999980557,0.686156,0.313115,0.999271,0.662116,0.334743,0.996859,34820.0,4352.0,269.682264631,0.0,0.0
23,glp,biomatch,2048,8,1,2,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.865871745,0.665201,0.353644,1.01885,0.707866,0.31138,1.01925,34820.0,4352.0,273.43532649,0.0,0.0
