,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,8,4,1,0,hycc,16731542.52799736,16731542.52799736,0.0,2.386112241,10.6977,3.77748,14.4751,10.5838,3.89193,14.4757,17412.0,2176.0,0.0,0.0,0.0
1,b,biomatch,1024,8,4,1,1,hycc,16731542.52799736,16731542.52799736,0.0,2.325612529,10.6085,4.04602,14.6545,10.7294,3.92313,14.6526,17412.0,2176.0,0.0,0.0,0.0
2,b,biomatch,1024,8,4,1,2,hycc,16731542.52799736,16731542.52799736,0.0,2.361475854,10.4983,3.85149,14.3498,10.5459,3.80355,14.3494,17412.0,2176.0,0.0,0.0,0.0
3,y,biomatch,1024,8,4,1,0,hycc,4585904.128000693,4585904.128000693,0.0,2.383715876,5.49598,3.53418,9.03016,5.47243,3.57009,9.04252,17412.0,2176.0,0.0,0.0,0.0
4,y,biomatch,1024,8,4,1,1,hycc,4585904.128000693,4585904.128000693,0.0,2.357034045,5.38094,3.61158,8.99253,5.50411,3.50193,9.00604,17412.0,2176.0,0.0,0.0,0.0
5,y,biomatch,1024,8,4,1,2,hycc,4585904.128000693,4585904.128000693,0.0,2.316690222,5.46649,3.51856,8.98506,5.43666,3.55803,8.99469,17412.0,2176.0,0.0,0.0,0.0
6,a+b,biomatch,1024,8,4,1,0,hycc,9180478.031999286,7469698.047999324,1710779.9839999576,2.34457902,1.24437,0.209382,1.45375,1.22694,0.225628,1.45256,17412.0,2176.0,0.0,0.0,0.0
7,a+b,biomatch,1024,8,4,1,1,hycc,9180478.031999283,7469698.047999324,1710779.983999958,2.330094362,1.29359,0.238184,1.53178,1.32397,0.207985,1.53196,17412.0,2176.0,0.0,0.0,0.0
8,a+b,biomatch,1024,8,4,1,2,hycc,9180478.03199928,7469698.047999324,1710779.9839999538,2.376221867,1.20982,0.233852,1.44367,1.21698,0.226271,1.44325,17412.0,2176.0,0.0,0.0,0.0
9,a+y,biomatch,1024,8,4,1,0,hycc,8412663.52400038,3166124.03199997,5246539.492000406,2.376297804,6.02402,3.78147,9.8055,6.14354,3.67524,9.81878,17412.0,2176.0,0.0,0.0,0.0
10,a+y,biomatch,1024,8,4,1,1,hycc,8412663.524000365,3166124.03199997,5246539.492000402,2.350315762,6.20338,3.74146,9.94484,6.16155,3.79523,9.95678,17412.0,2176.0,0.0,0.0,0.0
11,a+y,biomatch,1024,8,4,1,2,hycc,8412663.524000373,3166124.03199997,5246539.492000393,2.33261707,6.25844,3.81313,10.0716,6.39831,3.68572,10.084,17412.0,2176.0,0.0,0.0,0.0
12,greedy,biomatch,1024,8,4,1,0,hycc,9432791.30800075,3163224.064000005,6269567.244000729,2.370264558,6.5456,3.82676,10.3724,6.49103,3.88452,10.3756,17412.0,2176.0,0.0,0.0,0.0
13,greedy,biomatch,1024,8,4,1,1,hycc,9432791.308000753,3163224.064000005,6269567.244000759,2.387769901,6.62131,3.90489,10.5262,6.74813,3.78203,10.5302,17412.0,2176.0,0.0,0.0,0.0
14,greedy,biomatch,1024,8,4,1,2,hycc,9432791.308000755,3163224.064000005,6269567.244000745,2.390530697,6.50089,3.78474,10.2856,6.48319,3.80601,10.2892,17412.0,2176.0,0.0,0.0,0.0
15,lp,biomatch,1024,8,4,1,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.359943571,0.44462,0.154328,0.598948,0.442316,0.155786,0.598102,17412.0,2176.0,3.376356681,0.08470600399999999,0.099901925
16,lp,biomatch,1024,8,4,1,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.334711876,0.466839,0.154472,0.621311,0.468951,0.152361,0.621311,17412.0,2176.0,3.370113316,0.08177159,0.096630066
17,lp,biomatch,1024,8,4,1,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.316660362,0.43967,0.154654,0.594324,0.44066,0.153113,0.593773,17412.0,2176.0,3.532936001,0.106625694,0.098133448
18,lp+nm,biomatch,1024,8,4,1,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.328544033,0.516438,0.152564,0.669003,0.493281,0.173534,0.666814,17412.0,2176.0,4.198471023,0.0,0.096750344
19,lp+nm,biomatch,1024,8,4,1,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.290799439,0.504022,0.172904,0.676926,0.522569,0.154118,0.676687,17412.0,2176.0,4.188319925,0.0,0.09829278
20,lp+nm,biomatch,1024,8,4,1,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.329882441,0.518255,0.154759,0.673014,0.496872,0.173755,0.670628,17412.0,2176.0,4.18939055,0.0,0.093598766
21,glp,biomatch,1024,8,4,1,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.292934571,0.492776,0.185917,0.678693,0.492156,0.186031,0.678186,17412.0,2176.0,28.572424732,0.0,0.0
22,glp,biomatch,1024,8,4,1,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.330826281,0.516638,0.151815,0.668453,0.494933,0.171039,0.665971,17412.0,2176.0,28.610868998,0.0,0.0
23,glp,biomatch,1024,8,4,1,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.31946463,0.527729,0.154293,0.682021,0.50659,0.172966,0.679556,17412.0,2176.0,28.604112945,0.0,0.0
