,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,8,4,2,0,hycc,16731542.52799736,16731542.52799736,0.0,2.354926251,10.5464,3.9212,14.4676,10.6683,3.79777,14.466,17412.0,2176.0,0.0,0.0,0.0
1,b,biomatch,1024,8,4,2,1,hycc,16731542.52799736,16731542.52799736,0.0,2.35995539,10.6265,3.83975,14.4662,10.5949,3.87033,14.4652,17412.0,2176.0,0.0,0.0,0.0
2,b,biomatch,1024,8,4,2,2,hycc,16731542.52799736,16731542.52799736,0.0,2.349231524,10.7185,3.75917,14.4776,10.616,3.86025,14.4762,17412.0,2176.0,0.0,0.0,0.0
3,y,biomatch,1024,8,4,2,0,hycc,4585904.128000693,4585904.128000693,0.0,2.311905589,5.78159,3.44107,9.22266,5.62751,3.60817,9.23568,17412.0,2176.0,0.0,0.0,0.0
4,y,biomatch,1024,8,4,2,1,hycc,4585904.128000693,4585904.128000693,0.0,2.325083909,5.27769,3.57359,8.85127,5.39114,3.47402,8.86516,17412.0,2176.0,0.0,0.0,0.0
5,y,biomatch,1024,8,4,2,2,hycc,4585904.128000693,4585904.128000693,0.0,2.306010578,5.46485,3.53057,8.99542,5.47189,3.53753,9.00943,17412.0,2176.0,0.0,0.0,0.0
6,a+b,biomatch,1024,8,4,2,0,hycc,9180478.03199928,7469698.047999324,1710779.9839999566,2.35152727,1.22383,0.216367,1.4402,1.21062,0.227014,1.43763,17412.0,2176.0,0.0,0.0,0.0
7,a+b,biomatch,1024,8,4,2,1,hycc,9180478.031999286,7469698.047999324,1710779.9839999548,2.322766922,1.22348,0.225339,1.44882,1.2507,0.197805,1.4485,17412.0,2176.0,0.0,0.0,0.0
8,a+b,biomatch,1024,8,4,2,2,hycc,9180478.031999283,7469698.047999324,1710779.983999956,2.428802442,1.23414,0.21692,1.45106,1.21624,0.233069,1.44931,17412.0,2176.0,0.0,0.0,0.0
9,a+y,biomatch,1024,8,4,2,0,hycc,8412663.52400038,3166124.03199997,5246539.4920003945,2.319157937,6.45145,3.65556,10.107,6.29404,3.82436,10.1184,17412.0,2176.0,0.0,0.0,0.0
10,a+y,biomatch,1024,8,4,2,1,hycc,8412663.524000365,3166124.03199997,5246539.492000389,2.316252938,6.24445,3.80649,10.0509,6.38585,3.67644,10.0623,17412.0,2176.0,0.0,0.0,0.0
11,a+y,biomatch,1024,8,4,2,2,hycc,8412663.524000365,3166124.03199997,5246539.492000391,2.349924377,6.4238,3.75866,10.1825,6.43226,3.76231,10.1946,17412.0,2176.0,0.0,0.0,0.0
12,greedy,biomatch,1024,8,4,2,0,hycc,9432791.308000736,3163224.064000005,6269567.244000742,2.347420855,6.51608,3.85696,10.373,6.5035,3.8746,10.3781,17412.0,2176.0,0.0,0.0,0.0
13,greedy,biomatch,1024,8,4,2,1,hycc,9432791.308000758,3163224.064000005,6269567.244000733,2.358588611,6.74078,3.66753,10.4083,6.59667,3.81366,10.4103,17412.0,2176.0,0.0,0.0,0.0
14,greedy,biomatch,1024,8,4,2,2,hycc,9432791.308000756,3163224.064000005,6269567.244000757,2.310442983,6.56107,3.82403,10.3851,6.64767,3.74001,10.3877,17412.0,2176.0,0.0,0.0,0.0
15,lp,biomatch,1024,8,4,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.357082457,0.472737,0.151684,0.624421,0.453249,0.170514,0.623764,17412.0,2176.0,3.478480069,0.08301343900000001,0.09839818099999999
16,lp,biomatch,1024,8,4,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.323784583,0.439017,0.154101,0.593118,0.423679,0.168843,0.592522,17412.0,2176.0,3.44560474,0.082710729,0.097221816
17,lp,biomatch,1024,8,4,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.326396684,0.475985,0.149341,0.625326,0.446042,0.176773,0.622816,17412.0,2176.0,3.481555402,0.082255877,0.088441792
18,lp+nm,biomatch,1024,8,4,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.349685568,0.528706,0.150589,0.679295,0.503702,0.173614,0.677316,17412.0,2176.0,4.196740012,0.0,0.099398002
19,lp+nm,biomatch,1024,8,4,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.312898958,0.507652,0.174818,0.682469,0.530666,0.152238,0.682905,17412.0,2176.0,4.202459839,0.0,0.09496275900000001
20,lp+nm,biomatch,1024,8,4,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.329332824,0.527078,0.154175,0.681253,0.507144,0.171781,0.678926,17412.0,2176.0,4.19759389,0.0,0.08902832399999999
21,glp,biomatch,1024,8,4,2,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.299698701,0.495114,0.184301,0.679414,0.494396,0.184091,0.678487,17412.0,2176.0,28.634581929,0.0,0.0
22,glp,biomatch,1024,8,4,2,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.361647682,0.522276,0.153621,0.675897,0.500535,0.172852,0.673387,17412.0,2176.0,28.957262379,0.0,0.0
23,glp,biomatch,1024,8,4,2,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.364621272,0.553245,0.151384,0.704629,0.525625,0.176601,0.702226,17412.0,2176.0,28.960210694,0.0,0.0
