,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,16,4,1,0,hycc,16731542.52799736,16731542.52799736,0.0,2.28673178,10.6234,3.79899,14.4224,10.526,3.89521,14.4213,17412.0,1088.0,0.0,0.0,0.0
1,b,biomatch,1024,16,4,1,1,hycc,16731542.52799736,16731542.52799736,0.0,2.310967462,10.4454,3.99451,14.4399,10.608,3.83054,14.4385,17412.0,1088.0,0.0,0.0,0.0
2,b,biomatch,1024,16,4,1,2,hycc,16731542.52799736,16731542.52799736,0.0,2.334999577,10.6736,3.86764,14.5412,10.5829,3.95747,14.5404,17412.0,1088.0,0.0,0.0,0.0
3,y,biomatch,1024,16,4,1,0,hycc,4585904.128000693,4585904.128000693,0.0,2.304552784,5.46842,3.61152,9.07994,5.62957,3.46392,9.09349,17412.0,1088.0,0.0,0.0,0.0
4,y,biomatch,1024,16,4,1,1,hycc,4585904.128000693,4585904.128000693,0.0,2.310451242,5.52821,3.51684,9.04505,5.46187,3.5968,9.05867,17412.0,1088.0,0.0,0.0,0.0
5,y,biomatch,1024,16,4,1,2,hycc,4585904.128000693,4585904.128000693,0.0,2.348984651,5.80335,3.4349,9.23825,5.62397,3.62437,9.24834,17412.0,1088.0,0.0,0.0,0.0
6,a+b,biomatch,1024,16,4,1,0,hycc,9180478.03199928,7469698.047999324,1710779.9839999536,2.309217952,1.21748,0.208597,1.42607,1.20465,0.22045,1.4251,17412.0,1088.0,0.0,0.0,0.0
7,a+b,biomatch,1024,16,4,1,1,hycc,9180478.031999284,7469698.047999324,1710779.983999958,2.312207402,1.21701,0.209615,1.42662,1.20483,0.220158,1.42499,17412.0,1088.0,0.0,0.0,0.0
8,a+b,biomatch,1024,16,4,1,2,hycc,9180478.031999279,7469698.047999324,1710779.983999956,2.319111063,1.20068,0.2289,1.42958,1.22662,0.203733,1.43036,17412.0,1088.0,0.0,0.0,0.0
9,a+y,biomatch,1024,16,4,1,0,hycc,8412663.524000358,3166124.03199997,5246539.492000414,2.372577532,6.34861,3.82146,10.1701,6.50251,3.67742,10.1799,17412.0,1088.0,0.0,0.0,0.0
10,a+y,biomatch,1024,16,4,1,1,hycc,8412663.524000375,3166124.03199997,5246539.492000371,2.306433546,6.32948,3.80446,10.1339,6.38809,3.75828,10.1464,17412.0,1088.0,0.0,0.0,0.0
11,a+y,biomatch,1024,16,4,1,2,hycc,8412663.524000362,3166124.03199997,5246539.492000422,2.320500548,6.24408,3.76225,10.0063,6.27445,3.74296,10.0174,17412.0,1088.0,0.0,0.0,0.0
12,greedy,biomatch,1024,16,4,1,0,hycc,9432791.308000734,3163224.064000005,6269567.244000751,2.314469146,6.53109,3.76601,10.2971,6.45702,3.84338,10.3004,17412.0,1088.0,0.0,0.0,0.0
13,greedy,biomatch,1024,16,4,1,1,hycc,9432791.308000768,3163224.064000005,6269567.244000773,2.366763878,6.50614,3.86876,10.3749,6.65151,3.72223,10.3737,17412.0,1088.0,0.0,0.0,0.0
14,greedy,biomatch,1024,16,4,1,2,hycc,9432791.30800078,3163224.064000005,6269567.244000782,2.365055964,6.70609,3.74423,10.4503,6.63967,3.81396,10.4536,17412.0,1088.0,0.0,0.0,0.0
15,lp,biomatch,1024,16,4,1,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.378516706,0.442187,0.15087,0.593056,0.4384,0.153396,0.591796,17412.0,1088.0,1.481162594,0.086023511,0.101725891
16,lp,biomatch,1024,16,4,1,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.309981468,0.437908,0.158009,0.595917,0.442307,0.153826,0.596133,17412.0,1088.0,1.509414944,0.08514174099999999,0.093480852
17,lp,biomatch,1024,16,4,1,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.327484674,0.494262,0.17062,0.664882,0.511989,0.151685,0.663675,17412.0,1088.0,1.586595074,0.088249435,0.102320935
18,lp+nm,biomatch,1024,16,4,1,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.323813518,0.512556,0.18275,0.695306,0.514131,0.181783,0.695913,17412.0,1088.0,3.16980273,0.0,0.094697846
19,lp+nm,biomatch,1024,16,4,1,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.294521652,0.498265,0.17553,0.673795,0.519606,0.154575,0.674182,17412.0,1088.0,3.161429331,0.0,0.101905232
20,lp+nm,biomatch,1024,16,4,1,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.290032663,0.516015,0.15276,0.668776,0.494847,0.171449,0.666296,17412.0,1088.0,3.1651796,0.0,0.09692533299999999
21,glp,biomatch,1024,16,4,1,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.330479578,0.520256,0.152735,0.672991,0.49877,0.17184,0.670609,17412.0,1088.0,28.623171937,0.0,0.0
22,glp,biomatch,1024,16,4,1,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.323052116,0.497397,0.185237,0.682634,0.496716,0.185259,0.681976,17412.0,1088.0,28.513592393,0.0,0.0
23,glp,biomatch,1024,16,4,1,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.290104536,0.508497,0.174929,0.683426,0.52988,0.154111,0.683991,17412.0,1088.0,28.570179331,0.0,0.0
