,test_case,minimization_time,input_size,cost_model,variant,module_bundle_time,selection_time,runner,run,server_load_time,server_exec_time,client_load_time,client_exec_time,selection_scheme
0,biomatch,600,256,hycc,,0.0,0.0,CIRCUIT-SIM,0,2.47111,5.80126,,,
1,biomatch,600,256,hycc,,0.0,0.0,CIRCUIT-SIM,1,2.44498,5.79636,,,
2,biomatch,600,256,hycc,,0.0,0.0,ABY-HYCC,2,2.44176,5.77329,,,
3,biomatch,600,256,hycc,,0.0,0.0,ABY-HYCC,0,9.9053,1.27825,9.95137,1.22751,
4,biomatch,600,256,hycc,,0.0,0.0,ABY-HYCC,1,10.1283,1.34885,9.63176,1.8427,
5,biomatch,600,256,hycc,,0.0,0.0,ABY-HYCC,2,9.74374,1.45052,9.95751,1.23323,
6,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,0,19.9317,1.13268,18.8911,2.16836,yaonly
7,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,1,19.1996,1.61006,19.6719,1.13469,yaonly
8,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,2,19.8986,1.14542,18.8752,2.16657,yaonly
9,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,0,0.417517,0.335777,0.374031,0.375917,yaohybrid
10,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,1,0.355451,0.330777,0.382999,0.300725,yaohybrid
11,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,2,0.384113,0.332674,0.35775,0.355914,yaohybrid
12,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,0,18.424,2.07759,17.2513,3.2472,gmwonly
13,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,1,18.4497,1.61574,17.4446,2.61767,gmwonly
14,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,2,17.832,2.64613,18.1632,2.31154,gmwonly
15,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,0,0.411909,0.352662,0.396421,0.364951,gmwhybrid
16,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,1,0.428726,0.356453,0.368913,0.415642,gmwhybrid
17,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,2,0.388005,0.338625,0.386287,0.338292,gmwhybrid
18,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,0,0.66309,0.356633,0.636565,0.381125,ps_optimized
19,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,1,0.623297,0.390502,0.656059,0.355609,ps_optimized
20,biomatch,600,256,hycc,['--all-variants'],0.027854442596435547,2.6741180419921875,ABY-HYCC,2,0.679826,0.347823,0.584409,0.439969,ps_optimized
