,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,512,12,4,1,0,hycc,8365771.264000272,8365771.264000272,0.0,0.684678648,7.42549,2.04953,9.47502,7.44462,2.02825,9.47287,8708.0,725.0,0.0,0.0,0.0
1,b,biomatch,512,12,4,1,1,hycc,8365771.264000272,8365771.264000272,0.0,0.679097026,7.96415,1.96219,9.92634,7.97888,1.94719,9.92608,8708.0,725.0,0.0,0.0,0.0
2,b,biomatch,512,12,4,1,2,hycc,8365771.264000272,8365771.264000272,0.0,0.674142411,7.17336,1.9234,9.09676,7.16224,1.93343,9.09567,8708.0,725.0,0.0,0.0,0.0
3,y,biomatch,512,12,4,1,0,hycc,2292952.064000215,2292952.064000215,0.0,0.682391061,3.84616,1.76254,5.6087,3.93611,1.67674,5.61285,8708.0,725.0,0.0,0.0,0.0
4,y,biomatch,512,12,4,1,1,hycc,2292952.064000215,2292952.064000215,0.0,0.655567201,4.01372,1.66181,5.67553,3.89513,1.78401,5.67914,8708.0,725.0,0.0,0.0,0.0
5,y,biomatch,512,12,4,1,2,hycc,2292952.064000215,2292952.064000215,0.0,0.6715606719999999,3.86656,1.7245,5.59106,3.86863,1.72713,5.59576,8708.0,725.0,0.0,0.0,0.0
6,a+b,biomatch,512,12,4,1,0,hycc,4590910.543999975,3734849.0239999914,856061.5199999829,0.687633008,0.782351,0.105994,0.888344,0.770484,0.116128,0.886612,8708.0,725.0,0.0,0.0,0.0
7,a+b,biomatch,512,12,4,1,1,hycc,4590910.543999975,3734849.0239999914,856061.519999983,0.650060238,0.785591,0.105386,0.890977,0.774117,0.115895,0.890012,8708.0,725.0,0.0,0.0,0.0
8,a+b,biomatch,512,12,4,1,2,hycc,4590910.543999975,3734849.0239999914,856061.519999983,0.6569431130000001,0.788909,0.102474,0.891383,0.773269,0.116072,0.889341,8708.0,725.0,0.0,0.0,0.0
9,a+y,biomatch,512,12,4,1,0,hycc,4206985.955999961,1583062.0159998538,2623923.940000113,0.6532567279999999,4.8712,1.89999,6.77118,4.95298,1.82557,6.77856,8708.0,725.0,0.0,0.0,0.0
10,a+y,biomatch,512,12,4,1,1,hycc,4206985.955999964,1583062.0159998538,2623923.940000109,0.671868424,4.24176,1.84578,6.08754,4.34992,1.74495,6.09488,8708.0,725.0,0.0,0.0,0.0
11,a+y,biomatch,512,12,4,1,2,hycc,4206985.955999956,1583062.0159998538,2623923.9400001117,0.674360134,4.32426,1.8343,6.15855,4.43203,1.7331,6.16514,8708.0,725.0,0.0,0.0,0.0
12,greedy,biomatch,512,12,4,1,0,hycc,4716907.78799983,1581612.0319998565,3135295.7559999772,0.673834395,4.56048,1.75412,6.31459,4.44597,1.8727,6.31867,8708.0,725.0,0.0,0.0,0.0
13,greedy,biomatch,512,12,4,1,1,hycc,4716907.787999826,1581612.0319998565,3135295.7559999702,0.681754006,4.42748,1.80864,6.23612,4.38325,1.8565,6.23975,8708.0,725.0,0.0,0.0,0.0
14,greedy,biomatch,512,12,4,1,2,hycc,4716907.787999829,1581612.0319998565,3135295.755999969,0.684089339,4.33162,1.83162,6.16324,4.43195,1.73431,6.16626,8708.0,725.0,0.0,0.0,0.0
15,lp,biomatch,512,12,4,1,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.670805349,0.327203,0.0770583,0.404262,0.326674,0.0768267,0.403501,8708.0,725.0,1.023084585,0.040014978,0.061141182999999995
16,lp,biomatch,512,12,4,1,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.637676563,0.324259,0.0773368,0.401596,0.323784,0.0767414,0.400525,8708.0,725.0,0.991469804,0.041507782,0.060385630999999995
17,lp,biomatch,512,12,4,1,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.63252964,0.328655,0.0781313,0.406787,0.325108,0.0799019,0.40501,8708.0,725.0,1.014871851,0.041444538,0.060327216
18,lp+nm,biomatch,512,12,4,1,0,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.63596029,0.415457,0.0828124,0.49827,0.404549,0.0924797,0.497029,8708.0,725.0,1.552461432,0.0,0.061205893000000004
19,lp+nm,biomatch,512,12,4,1,1,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.64380224,0.423432,0.0807176,0.504149,0.409695,0.0919681,0.501663,8708.0,725.0,1.548516912,0.0,0.065385609
20,lp+nm,biomatch,512,12,4,1,2,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.642605051,0.42683,0.0820291,0.508859,0.414074,0.0923761,0.50645,8708.0,725.0,1.544866305,0.0,0.064902073
21,glp,biomatch,512,12,4,1,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.668078588,0.409547,0.0969227,0.50647,0.409375,0.0958427,0.505218,8708.0,725.0,18.749422131,0.0,0.0
22,glp,biomatch,512,12,4,1,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.692561837,0.406518,0.089557,0.496075,0.419624,0.0767182,0.496342,8708.0,725.0,18.207045818,0.0,0.0
23,glp,biomatch,512,12,4,1,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6771690109999999,0.41257,0.0907552,0.503325,0.411614,0.0912959,0.50291,8708.0,725.0,18.651797766,0.0,0.0
