,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,256,8,2,1,0,hycc,4182885.631999827,4182885.631999827,0.0,0.243670142,3.55091,0.946888,4.4978,3.5947,0.902348,4.49705,4356.0,544.0,0.0,0.0,0.0
1,b,biomatch,256,8,2,1,1,hycc,4182885.631999827,4182885.631999827,0.0,0.206821472,3.61861,0.907845,4.52646,3.61325,0.912006,4.52525,4356.0,544.0,0.0,0.0,0.0
2,b,biomatch,256,8,2,1,2,hycc,4182885.631999827,4182885.631999827,0.0,0.240610029,3.19606,0.88868,4.08474,3.19891,0.885612,4.08452,4356.0,544.0,0.0,0.0,0.0
3,y,biomatch,256,8,2,1,0,hycc,1146476.03199999,1146476.03199999,0.0,0.244400826,2.0004,0.827607,2.828,1.96054,0.865734,2.82628,4356.0,544.0,0.0,0.0,0.0
4,y,biomatch,256,8,2,1,1,hycc,1146476.03199999,1146476.03199999,0.0,0.250765515,2.03673,0.875697,2.91242,2.01434,0.897194,2.91154,4356.0,544.0,0.0,0.0,0.0
5,y,biomatch,256,8,2,1,2,hycc,1146476.03199999,1146476.03199999,0.0,0.243091864,1.49583,0.830801,2.32663,1.48068,0.844818,2.3255,4356.0,544.0,0.0,0.0,0.0
6,a+b,biomatch,256,8,2,1,0,hycc,2296126.7999999365,1867424.5119999296,428702.2880000072,0.206703428,0.535135,0.0548201,0.589955,0.538049,0.0523402,0.590389,4356.0,544.0,0.0,0.0,0.0
7,a+b,biomatch,256,8,2,1,1,hycc,2296126.7999999365,1867424.5119999296,428702.2880000065,0.244487519,0.501992,0.0541098,0.556102,0.501346,0.0524486,0.553795,4356.0,544.0,0.0,0.0,0.0
8,a+b,biomatch,256,8,2,1,2,hycc,2296126.7999999365,1867424.5119999296,428702.2880000063,0.20982037399999998,0.536378,0.0533404,0.589719,0.528036,0.0592868,0.587323,4356.0,544.0,0.0,0.0,0.0
9,a+y,biomatch,256,8,2,1,0,hycc,2104147.171999995,791531.0079999665,1312616.1640000266,0.211104472,2.25084,1.00617,3.25701,2.34827,0.908235,3.25651,4356.0,544.0,0.0,0.0,0.0
10,a+y,biomatch,256,8,2,1,1,hycc,2104147.171999993,791531.0079999665,1312616.164000027,0.236260418,2.30968,0.923311,3.23299,2.3013,0.930785,3.23209,4356.0,544.0,0.0,0.0,0.0
11,a+y,biomatch,256,8,2,1,2,hycc,2104147.171999996,791531.0079999665,1312616.1640000257,0.254725269,2.35231,1.00393,3.35624,2.37997,0.975324,3.35529,4356.0,544.0,0.0,0.0,0.0
12,greedy,biomatch,256,8,2,1,0,hycc,2358966.0280000004,790806.0159999627,1568160.0120000378,0.20514637,2.3396,0.977052,3.31665,2.34176,0.972734,3.31449,4356.0,544.0,0.0,0.0,0.0
13,greedy,biomatch,256,8,2,1,1,hycc,2358966.0279999985,790806.0159999627,1568160.0120000325,0.241248213,2.31315,0.999199,3.31234,2.34938,0.962214,3.3116,4356.0,544.0,0.0,0.0,0.0
14,greedy,biomatch,256,8,2,1,2,hycc,2358966.0279999957,790806.0159999627,1568160.0120000308,0.220625798,1.83833,0.943198,2.78153,1.84042,0.940146,2.78057,4356.0,544.0,0.0,0.0,0.0
15,lp,biomatch,256,8,2,1,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.245102558,0.300101,0.0395653,0.339666,0.298622,0.0401391,0.338761,4356.0,544.0,0.541462903,0.02508977,0.047714779
16,lp,biomatch,256,8,2,1,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.249466911,0.303863,0.0392771,0.34314,0.302113,0.0410363,0.343149,4356.0,544.0,0.5582264800000001,0.026505364,0.043990274
17,lp,biomatch,256,8,2,1,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.21665608700000002,0.303427,0.0413806,0.344808,0.300119,0.0440478,0.344166,4356.0,544.0,0.5488501579999999,0.026798116,0.046875084000000004
18,lp+nm,biomatch,256,8,2,1,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20014036500000001,0.329341,0.046239,0.37558,0.333383,0.0409095,0.374293,4356.0,544.0,0.788596423,0.0,0.042427258
19,lp+nm,biomatch,256,8,2,1,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.241155395,0.333868,0.0391943,0.373063,0.329305,0.0417317,0.371036,4356.0,544.0,0.799166418,0.0,0.042470265
20,lp+nm,biomatch,256,8,2,1,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.24746504100000002,0.331346,0.0404006,0.371746,0.331128,0.0407368,0.371864,4356.0,544.0,0.789460497,0.0,0.047137077
21,glp,biomatch,256,8,2,1,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.209435225,0.341745,0.0457271,0.387473,0.34806,0.0396094,0.387669,4356.0,544.0,4.826925145,0.0,0.0
22,glp,biomatch,256,8,2,1,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.261500094,0.332383,0.0472465,0.379629,0.331424,0.0465486,0.377972,4356.0,544.0,4.828516782,0.0,0.0
23,glp,biomatch,256,8,2,1,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.245974669,0.338787,0.0472316,0.386018,0.345157,0.041235,0.386392,4356.0,544.0,4.823114578,0.0,0.0
