,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,512,12,4,4,0,hycc,8365771.264000272,8365771.264000272,0.0,0.680387309,7.78243,1.96655,9.74898,7.85979,1.88759,9.74738,8708.0,725.0,0.0,0.0,0.0
1,b,biomatch,512,12,4,4,1,hycc,8365771.264000272,8365771.264000272,0.0,0.690601873,5.31668,1.88825,7.20494,5.30995,1.89413,7.20408,8708.0,725.0,0.0,0.0,0.0
2,b,biomatch,512,12,4,4,2,hycc,8365771.264000272,8365771.264000272,0.0,0.667509947,7.41684,2.22459,9.64142,7.41133,2.2286,9.63992,8708.0,725.0,0.0,0.0,0.0
3,y,biomatch,512,12,4,4,0,hycc,2292952.064000215,2292952.064000215,0.0,0.6766474429999999,3.75694,1.72222,5.47917,3.85825,1.62783,5.48609,8708.0,725.0,0.0,0.0,0.0
4,y,biomatch,512,12,4,4,1,hycc,2292952.064000215,2292952.064000215,0.0,0.671240116,3.75999,1.72746,5.48745,3.86759,1.62514,5.49273,8708.0,725.0,0.0,0.0,0.0
5,y,biomatch,512,12,4,4,2,hycc,2292952.064000215,2292952.064000215,0.0,0.670376544,3.77952,1.73853,5.51805,3.89439,1.62693,5.52132,8708.0,725.0,0.0,0.0,0.0
6,a+b,biomatch,512,12,4,4,0,hycc,4590910.543999976,3734849.0239999914,856061.5199999841,0.68660645,0.787367,0.10682,0.894187,0.788632,0.104239,0.892871,8708.0,725.0,0.0,0.0,0.0
7,a+b,biomatch,512,12,4,4,1,hycc,4590910.543999975,3734849.0239999914,856061.5199999834,0.676096669,0.80877,0.123943,0.932713,0.828774,0.10383,0.932604,8708.0,725.0,0.0,0.0,0.0
8,a+b,biomatch,512,12,4,4,2,hycc,4590910.543999976,3734849.0239999914,856061.5199999831,0.6844075759999999,0.783395,0.112926,0.896321,0.783939,0.110026,0.893965,8708.0,725.0,0.0,0.0,0.0
9,a+y,biomatch,512,12,4,4,0,hycc,4206985.955999962,1583062.0159998538,2623923.94000011,0.6654001110000001,4.3637,1.84012,6.20383,4.46165,1.74828,6.20993,8708.0,725.0,0.0,0.0,0.0
10,a+y,biomatch,512,12,4,4,1,hycc,4206985.955999965,1583062.0159998538,2623923.940000108,0.675348425,4.35117,1.84071,6.19188,4.46845,1.72924,6.19769,8708.0,725.0,0.0,0.0,0.0
11,a+y,biomatch,512,12,4,4,2,hycc,4206985.955999962,1583062.0159998538,2623923.940000117,0.6796832859999999,4.98864,1.75508,6.74372,4.88164,1.86979,6.75143,8708.0,725.0,0.0,0.0,0.0
12,greedy,biomatch,512,12,4,4,0,hycc,4716907.787999822,1581612.0319998565,3135295.7559999693,0.6754782770000001,4.4143,1.87902,6.29332,4.39578,1.90117,6.29695,8708.0,725.0,0.0,0.0,0.0
13,greedy,biomatch,512,12,4,4,1,hycc,4716907.787999828,1581612.0319998565,3135295.7559999786,0.665990162,4.42307,1.85646,6.27953,4.44499,1.83915,6.28414,8708.0,725.0,0.0,0.0,0.0
14,greedy,biomatch,512,12,4,4,2,hycc,4716907.78799983,1581612.0319998565,3135295.7559999744,0.675345871,4.51462,1.78175,6.29637,4.44046,1.85812,6.29858,8708.0,725.0,0.0,0.0,0.0
15,lp,biomatch,512,12,4,4,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6734789950000001,0.334751,0.076052,0.410803,0.337196,0.0741753,0.411371,8708.0,725.0,1.004695699,0.041541800000000004,0.06534682
16,lp,biomatch,512,12,4,4,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.653864223,0.324498,0.0766502,0.401148,0.32286,0.0765788,0.399438,8708.0,725.0,1.050734577,0.041653203,0.062417904
17,lp,biomatch,512,12,4,4,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6596375000000001,0.351596,0.076225,0.427821,0.352513,0.0744561,0.426969,8708.0,725.0,1.010876262,0.041504989,0.05933854
18,lp+nm,biomatch,512,12,4,4,0,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.643660838,0.409977,0.0937411,0.503719,0.408243,0.0950237,0.503267,8708.0,725.0,1.559686852,0.0,0.05858629
19,lp+nm,biomatch,512,12,4,4,1,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.6476418469999999,0.41506,0.0803379,0.495398,0.401616,0.0917237,0.49334,8708.0,725.0,1.556002772,0.0,0.058579428999999995
20,lp+nm,biomatch,512,12,4,4,2,hycc,1856622.5849998593,1596549.6089998605,260072.97599999877,0.65305107,0.424362,0.0802071,0.504569,0.409828,0.0923723,0.502201,8708.0,725.0,1.551099969,0.0,0.06614456
21,glp,biomatch,512,12,4,4,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.7294478169999999,0.404144,0.0896264,0.49377,0.415845,0.0780984,0.493944,8708.0,725.0,18.71637574,0.0,0.0
22,glp,biomatch,512,12,4,4,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.659117344,0.408428,0.0888788,0.497307,0.421327,0.0760661,0.497393,8708.0,725.0,18.672273435,0.0,0.0
23,glp,biomatch,512,12,4,4,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.693640323,0.403735,0.0921459,0.495881,0.40382,0.0914498,0.495269,8708.0,725.0,18.790310224,0.0,0.0
