,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,512,16,4,4,0,hycc,8365771.264000272,8365771.264000272,0.0,0.636180789,6.28638,1.77224,8.05862,6.20678,1.84955,8.05633,8708.0,544.0,0.0,0.0,0.0
1,b,biomatch,512,16,4,4,1,hycc,8365771.264000272,8365771.264000272,0.0,0.698646517,7.48463,1.9548,9.43943,7.50493,1.93399,9.43892,8708.0,544.0,0.0,0.0,0.0
2,b,biomatch,512,16,4,4,2,hycc,8365771.264000272,8365771.264000272,0.0,0.673103845,7.39832,1.98429,9.38261,7.48804,1.89243,9.38047,8708.0,544.0,0.0,0.0,0.0
3,y,biomatch,512,16,4,4,0,hycc,2292952.064000215,2292952.064000215,0.0,0.651854279,3.84475,1.71831,5.56306,3.85698,1.70965,5.56663,8708.0,544.0,0.0,0.0,0.0
4,y,biomatch,512,16,4,4,1,hycc,2292952.064000215,2292952.064000215,0.0,0.674175039,4.00448,1.67014,5.67462,3.89248,1.7867,5.67917,8708.0,544.0,0.0,0.0,0.0
5,y,biomatch,512,16,4,4,2,hycc,2292952.064000215,2292952.064000215,0.0,0.6815670629999999,3.89707,1.73298,5.63004,3.91903,1.71975,5.63879,8708.0,544.0,0.0,0.0,0.0
6,a+b,biomatch,512,16,4,4,0,hycc,4590910.543999976,3734849.0239999914,856061.5199999838,0.666161317,0.798435,0.119392,0.917827,0.816934,0.100755,0.91769,8708.0,544.0,0.0,0.0,0.0
7,a+b,biomatch,512,16,4,4,1,hycc,4590910.543999975,3734849.0239999914,856061.5199999837,0.660670314,0.773109,0.120807,0.893916,0.790261,0.102794,0.893055,8708.0,544.0,0.0,0.0,0.0
8,a+b,biomatch,512,16,4,4,2,hycc,4590910.543999975,3734849.0239999914,856061.519999983,0.6565038919999999,0.78586,0.108893,0.894752,0.775562,0.119059,0.894621,8708.0,544.0,0.0,0.0,0.0
9,a+y,biomatch,512,16,4,4,0,hycc,4206985.955999965,1583062.0159998538,2623923.9400001094,0.752151246,4.33918,1.80184,6.14103,4.36227,1.78627,6.14854,8708.0,544.0,0.0,0.0,0.0
10,a+y,biomatch,512,16,4,4,1,hycc,4206985.955999968,1583062.0159998538,2623923.940000106,0.6696142589999999,4.29565,1.86048,6.15613,4.33034,1.83505,6.16539,8708.0,544.0,0.0,0.0,0.0
11,a+y,biomatch,512,16,4,4,2,hycc,4206985.955999967,1583062.0159998538,2623923.9400001056,0.6811427760000001,4.99704,1.82775,6.82479,5.02418,1.80955,6.83373,8708.0,544.0,0.0,0.0,0.0
12,greedy,biomatch,512,16,4,4,0,hycc,4716907.787999834,1581612.0319998565,3135295.7559999796,0.6808492509999999,4.44534,1.79144,6.23678,4.49128,1.74915,6.24043,8708.0,544.0,0.0,0.0,0.0
13,greedy,biomatch,512,16,4,4,1,hycc,4716907.787999823,1581612.0319998565,3135295.755999973,0.6737588080000001,4.28246,1.8979,6.18036,4.42802,1.75664,6.18466,8708.0,544.0,0.0,0.0,0.0
14,greedy,biomatch,512,16,4,4,2,hycc,4716907.787999826,1581612.0319998565,3135295.7559999693,0.6801568499999999,4.3777,1.81549,6.19319,4.34683,1.84427,6.19111,8708.0,544.0,0.0,0.0,0.0
15,lp,biomatch,512,16,4,4,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6808832180000001,0.336099,0.0760321,0.412131,0.335665,0.0751825,0.410848,8708.0,544.0,1.121312508,0.047366812,0.06729571799999999
16,lp,biomatch,512,16,4,4,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.631566532,0.418093,0.0916308,0.509723,0.418372,0.0904376,0.508809,8708.0,544.0,1.11703796,0.047095536,0.066858305
17,lp,biomatch,512,16,4,4,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6660445939999999,0.32484,0.0758623,0.400702,0.324673,0.0753797,0.400052,8708.0,544.0,1.111380085,0.04748003,0.072095816
18,lp+nm,biomatch,512,16,4,4,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.642467241,0.365793,0.0767263,0.442519,0.352106,0.0876303,0.439736,8708.0,544.0,1.390078269,0.0,0.06576098899999999
19,lp+nm,biomatch,512,16,4,4,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.639860576,0.411241,0.0774211,0.488662,0.397727,0.0882239,0.485951,8708.0,544.0,1.39277703,0.0,0.07345784600000001
20,lp+nm,biomatch,512,16,4,4,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.639824938,0.411577,0.0785633,0.49014,0.397637,0.0897964,0.487434,8708.0,544.0,1.392953687,0.0,0.065135819
21,glp,biomatch,512,16,4,4,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6416818919999999,0.409482,0.0798263,0.489308,0.39599,0.0908292,0.486819,8708.0,544.0,18.606195581,0.0,0.0
22,glp,biomatch,512,16,4,4,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.666437178,0.399733,0.0893411,0.489074,0.410007,0.078229,0.488236,8708.0,544.0,18.4020073,0.0,0.0
23,glp,biomatch,512,16,4,4,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.700715383,0.407452,0.0924004,0.499853,0.407106,0.0923146,0.499421,8708.0,544.0,18.628489492,0.0,0.0
