,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,4096,16,2,4,0,hycc,69636,4352.0,11.871511466,0.380133511,0.302872704,14814158.848004585,12761636.864004437,2052521.984000148,42.337374587,1.14056,0.716136,1.85669,1.18517,0.670543,1.85571
1,lp,biomatch,4096,16,2,4,1,hycc,69636,4352.0,11.231565695,0.392885381,0.308294638,14814158.848004585,12761636.864004437,2052521.984000148,43.655113802,1.11358,0.719311,1.83289,1.14794,0.683939,1.83188
2,lp,biomatch,4096,16,2,4,2,hycc,69636,4352.0,10.922712826,0.402609183,0.31282411000000004,14814158.848004585,12761636.864004437,2052521.984000148,43.979250365,1.19157,0.645912,1.83748,1.12002,0.714847,1.83486
3,lp+nm,biomatch,4096,16,2,4,0,hycc,69636,4352.0,23.258607826,0.0,0.308304642,14814158.848004585,12761636.864004437,2052521.984000148,43.202794188,1.20084,0.665577,1.86641,1.17271,0.694015,1.86673
4,lp+nm,biomatch,4096,16,2,4,1,hycc,69636,4352.0,23.597188287,0.0,0.309853928,14814158.848004585,12761636.864004437,2052521.984000148,44.387926643,1.1198,0.742533,1.86233,1.15824,0.703142,1.86139
5,lp+nm,biomatch,4096,16,2,4,2,hycc,69636,4352.0,23.583042093,0.0,0.309400793,14814158.848004585,12761636.864004437,2052521.984000148,44.967397079,1.09991,0.706167,1.80608,1.16006,0.645212,1.80527
