,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,256,16,2,4,0,hycc,4356,272.0,0.899868029,0.0269866,0.055855885,925884.9279999691,797602.3039999683,128282.62400000077,0.242255947,0.336897,0.0455529,0.38245,0.342729,0.0399705,0.3827
1,lp,biomatch,256,16,2,4,1,hycc,4356,272.0,0.906894456,0.028721507,0.049800393,925884.9279999691,797602.3039999683,128282.62400000077,0.252771182,0.323108,0.0469439,0.370052,0.322746,0.0469454,0.369692
2,lp,biomatch,256,16,2,4,2,hycc,4356,272.0,0.916151053,0.033484307,0.05638228,925884.9279999691,797602.3039999683,128282.62400000077,0.24185789,0.340105,0.0498165,0.389921,0.341399,0.0487385,0.390137
3,lp+nm,biomatch,256,16,2,4,0,hycc,4356,272.0,0.61617561,0.0,0.054943616,927277.3509999689,797992.5189999682,129284.83200000078,0.244014973,0.336727,0.0393621,0.376089,0.328177,0.0459984,0.374175
4,lp+nm,biomatch,256,16,2,4,1,hycc,4356,272.0,0.612737047,0.0,0.058140164,927277.3509999689,797992.5189999682,129284.83200000078,0.24565533,0.344666,0.0427096,0.387375,0.347745,0.0393738,0.387119
5,lp+nm,biomatch,256,16,2,4,2,hycc,4356,272.0,0.615148153,0.0,0.053803211,927277.3509999689,797992.5189999682,129284.83200000078,0.210454129,0.332534,0.0451067,0.377641,0.339341,0.0384935,0.377835
