,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,256,12,1,2,0,hycc,4356,363.0,0.645524902,0.029266639,0.051754872,926212.024999969,797602.3039999683,128609.72100000076,0.238957718,0.340704,0.0380392,0.378743,0.332111,0.0455475,0.377659
1,lp,biomatch,256,12,1,2,1,hycc,4356,363.0,0.643397057,0.028291564,0.046735509,926212.024999969,797602.3039999683,128609.72100000076,0.24825621,0.323391,0.0459539,0.369345,0.328476,0.040872,0.369348
2,lp,biomatch,256,12,1,2,2,hycc,4356,363.0,0.643056717,0.024634554000000003,0.049385624999999995,926212.024999969,797602.3039999683,128609.72100000076,0.245959194,0.338995,0.0449381,0.383933,0.334473,0.0473555,0.381829
3,lp+nm,biomatch,256,12,1,2,0,hycc,4356,363.0,0.696956013,0.0,0.050792268,926212.024999969,797602.3039999683,128609.72100000076,0.25069888,0.341261,0.0405077,0.381768,0.333026,0.0474996,0.380526
4,lp+nm,biomatch,256,12,1,2,1,hycc,4356,363.0,0.690914931,0.0,0.043834043,926212.024999969,797602.3039999683,128609.72100000076,0.21188041100000002,0.322163,0.0399798,0.362143,0.3147,0.0449216,0.359622
5,lp+nm,biomatch,256,12,1,2,2,hycc,4356,363.0,0.700995133,0.0,0.045571112,926212.024999969,797602.3039999683,128609.72100000076,0.210285003,0.339148,0.0408493,0.379997,0.331732,0.0456986,0.37743
