,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,4,4,4,0,hycc,34820,8705.0,23.257540007,0.215953416,0.141234257,7407079.423998631,6380818.431998585,1026260.992000045,10.571092127,0.703454,0.308707,1.01216,0.674235,0.336846,1.01108
1,lp,biomatch,2048,4,4,4,1,hycc,34820,8705.0,24.108208976,0.215747806,0.14525358600000002,7407079.423998631,6380818.431998585,1026260.992000045,10.663403227,0.682443,0.344805,1.02725,0.685564,0.340992,1.02656
2,lp,biomatch,2048,4,4,4,2,hycc,34820,8705.0,24.004452832,0.22044685,0.14426989,7407079.423998631,6380818.431998585,1026260.992000045,10.880900381,0.675771,0.345331,1.0211,0.6777,0.34335,1.02105
3,lp+nm,biomatch,2048,4,4,4,0,hycc,34820,8705.0,25.145133875,0.0,0.144908931,7407079.423998631,6380818.431998585,1026260.992000045,10.504786715,0.697897,0.309825,1.00772,0.672833,0.332579,1.00541
4,lp+nm,biomatch,2048,4,4,4,1,hycc,34820,8705.0,25.282464357,0.0,0.14554316,7407079.423998631,6380818.431998585,1026260.992000045,10.803832667,0.759307,0.357016,1.11632,0.760427,0.356197,1.11662
5,lp+nm,biomatch,2048,4,4,4,2,hycc,34820,8705.0,25.626295099,0.0,0.149420954,7407079.423998631,6380818.431998585,1026260.992000045,10.911828378,0.667225,0.3636,1.03083,0.687164,0.34256,1.02972
