,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,12,4,1,0,hycc,34820,2901.0,5.954501328,0.183112828,0.15739435000000002,7407079.423998631,6380818.431998585,1026260.992000045,10.567599357,0.67468,0.310947,0.985627,0.675904,0.310039,0.985943
1,lp,biomatch,2048,12,4,1,1,hycc,34820,2901.0,5.31250033,0.192470958,0.15893738999999998,7407079.423998631,6380818.431998585,1026260.992000045,10.371325219,0.677196,0.347952,1.02515,0.686529,0.339191,1.02572
2,lp,biomatch,2048,12,4,1,2,hycc,34820,2901.0,5.661402597,0.20312775,0.161510977,7407079.423998631,6380818.431998585,1026260.992000045,10.638812402,0.670106,0.34229,1.0124,0.664484,0.347333,1.01182
3,lp+nm,biomatch,2048,12,4,1,0,hycc,34820,2901.0,8.991737129,0.0,0.161231637,7407079.423998631,6380818.431998585,1026260.992000045,10.553167076,0.686753,0.352474,1.03923,0.682524,0.35567,1.03819
4,lp+nm,biomatch,2048,12,4,1,1,hycc,34820,2901.0,9.091954803,0.0,0.159989596,7407079.423998631,6380818.431998585,1026260.992000045,10.738090891,0.673259,0.351084,1.02434,0.691539,0.333427,1.02497
5,lp+nm,biomatch,2048,12,4,1,2,hycc,34820,2901.0,8.91776384,0.0,0.14493982700000002,7407079.423998631,6380818.431998585,1026260.992000045,10.608032794,0.687363,0.358052,1.04542,0.686973,0.357497,1.04447
