,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,16,2,1,0,hycc,34820,2176.0,2.753056614,0.177909403,0.166734039,7407079.423998631,6380818.431998585,1026260.992000045,10.613236773,0.64562,0.32312,0.96874,0.630839,0.337565,0.968404
1,lp,biomatch,2048,16,2,1,1,hycc,34820,2176.0,2.322844027,0.17172268,0.14812439900000002,7407079.423998631,6380818.431998585,1026260.992000045,10.81208555,0.661373,0.346891,1.00826,0.656521,0.350831,1.00735
2,lp,biomatch,2048,16,2,1,2,hycc,34820,2176.0,2.638601669,0.170121994,0.16209922499999999,7407079.423998631,6380818.431998585,1026260.992000045,10.825598342,0.62215,0.322217,0.944367,0.624347,0.31946,0.943807
3,lp+nm,biomatch,2048,16,2,1,0,hycc,34820,2176.0,7.681281223,0.0,0.163777006,7407079.423998631,6380818.431998585,1026260.992000045,10.7338969,0.678592,0.34657,1.02516,0.678543,0.346212,1.02475
4,lp+nm,biomatch,2048,16,2,1,1,hycc,34820,2176.0,7.677700277,0.0,0.164205255,7407079.423998631,6380818.431998585,1026260.992000045,10.737829224,0.70784,0.315565,1.0234,0.683116,0.338166,1.02128
5,lp+nm,biomatch,2048,16,2,1,2,hycc,34820,2176.0,7.708934335,0.0,0.165628139,7407079.423998631,6380818.431998585,1026260.992000045,10.71529869,0.691359,0.355031,1.04639,0.693634,0.352747,1.04638
