,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,8,4,4,0,hycc,34820,4352.0,11.522531907,0.221787018,0.153423205,7407079.423998631,6380818.431998585,1026260.992000045,10.636304367,0.69976,0.31376,1.01352,0.683692,0.329988,1.01368
1,lp,biomatch,2048,8,4,4,1,hycc,34820,4352.0,10.983817115,0.227230246,0.15340784600000001,7407079.423998631,6380818.431998585,1026260.992000045,10.939651272,0.651866,0.348698,1.00056,0.650925,0.34871,0.999636
2,lp,biomatch,2048,8,4,4,2,hycc,34820,4352.0,11.127469105,0.218025747,0.156012519,7407079.423998631,6380818.431998585,1026260.992000045,10.518583596,0.673656,0.349083,1.02274,0.671545,0.35065,1.02219
3,lp+nm,biomatch,2048,8,4,4,0,hycc,34820,4352.0,14.253746318,0.0,0.156723692,7407079.423998631,6380818.431998585,1026260.992000045,10.88705483,0.680513,0.338987,1.0195,0.699246,0.319455,1.0187
4,lp+nm,biomatch,2048,8,4,4,1,hycc,34820,4352.0,14.315985158,0.0,0.159545489,7407079.423998631,6380818.431998585,1026260.992000045,10.769309104,0.696118,0.343041,1.03916,0.722165,0.31672,1.03889
5,lp+nm,biomatch,2048,8,4,4,2,hycc,34820,4352.0,14.291463963,0.0,0.15378607500000002,7407079.423998631,6380818.431998585,1026260.992000045,10.798981115,0.761461,0.353277,1.11474,0.768105,0.347077,1.11518
