,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,256,12,2,2,0,hycc,4356,363.0,0.699199161,0.028412224,0.048340026,926212.024999969,797602.3039999683,128609.72100000076,0.252240613,0.332251,0.0481588,0.38041,0.336028,0.0439991,0.380027
1,lp,biomatch,256,12,2,2,1,hycc,4356,363.0,0.69830783,0.026684107000000002,0.037969681,926212.024999969,797602.3039999683,128609.72100000076,0.245957738,0.329474,0.0425356,0.372009,0.328521,0.0415325,0.370054
2,lp,biomatch,256,12,2,2,2,hycc,4356,363.0,0.702205742,0.028237882,0.047199859,926212.024999969,797602.3039999683,128609.72100000076,0.24956804800000001,0.333354,0.0456279,0.378982,0.337466,0.0411584,0.378625
3,lp+nm,biomatch,256,12,2,2,0,hycc,4356,363.0,0.687147596,0.0,0.047853852,926212.024999969,797602.3039999683,128609.72100000076,0.242538104,0.328712,0.0457922,0.374505,0.334003,0.0403768,0.37438
4,lp+nm,biomatch,256,12,2,2,1,hycc,4356,363.0,0.689471177,0.0,0.041853333,926212.024999969,797602.3039999683,128609.72100000076,0.250728145,0.34097,0.0389205,0.379891,0.332832,0.0452211,0.378053
5,lp+nm,biomatch,256,12,2,2,2,hycc,4356,363.0,0.6898145,0.0,0.048961460000000005,926212.024999969,797602.3039999683,128609.72100000076,0.210307247,0.350535,0.040988,0.391523,0.34331,0.0457787,0.389089
