,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,256,8,2,2,0,hycc,4356,544.0,0.550732758,0.024958892,0.048345323999999995,925884.9279999691,797602.3039999683,128282.62400000077,0.238465649,0.312973,0.0459171,0.35889,0.313667,0.0451791,0.358846
1,lp,biomatch,256,8,2,2,1,hycc,4356,544.0,0.554218105,0.026512496,0.041970298,925884.9279999691,797602.3039999683,128282.62400000077,0.208074431,0.302359,0.0468518,0.349211,0.302385,0.0459774,0.348362
2,lp,biomatch,256,8,2,2,2,hycc,4356,544.0,0.52712472,0.026756633999999998,0.042196073,925884.9279999691,797602.3039999683,128282.62400000077,0.24777277900000003,0.302738,0.0392668,0.342005,0.29939,0.0415386,0.340929
3,lp+nm,biomatch,256,8,2,2,0,hycc,4356,544.0,0.7816469389999999,0.0,0.042784442,925884.9279999691,797602.3039999683,128282.62400000077,0.254224351,0.327202,0.0392665,0.366469,0.324468,0.0409028,0.365371
4,lp+nm,biomatch,256,8,2,2,1,hycc,4356,544.0,0.790315058,0.0,0.043412098999999996,925884.9279999691,797602.3039999683,128282.62400000077,0.244270598,0.339101,0.0390586,0.37816,0.333209,0.0427371,0.375946
5,lp+nm,biomatch,256,8,2,2,2,hycc,4356,544.0,0.7756972889999999,0.0,0.043956982000000006,925884.9279999691,797602.3039999683,128282.62400000077,0.21208797899999998,0.338145,0.0451269,0.383272,0.336167,0.0461198,0.382286
