,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,256,8,2,4,0,hycc,4356,544.0,0.540002447,0.025570060000000002,0.046596569000000004,925884.9279999691,797602.3039999683,128282.62400000077,0.250827511,0.338204,0.0448291,0.383033,0.341914,0.0396477,0.381561
1,lp,biomatch,256,8,2,4,1,hycc,4356,544.0,0.547415532,0.024404173,0.043356200000000004,925884.9279999691,797602.3039999683,128282.62400000077,0.238910132,0.304069,0.0385667,0.342635,0.301609,0.0404996,0.342108
2,lp,biomatch,256,8,2,4,2,hycc,4356,544.0,0.544518777,0.0258302,0.043120518,925884.9279999691,797602.3039999683,128282.62400000077,0.250532405,0.289889,0.0439002,0.333789,0.29533,0.0386231,0.333953
3,lp+nm,biomatch,256,8,2,4,0,hycc,4356,544.0,0.788482548,0.0,0.04273832,925884.9279999691,797602.3039999683,128282.62400000077,0.249340749,0.340853,0.0436129,0.384466,0.34486,0.0388842,0.383744
4,lp+nm,biomatch,256,8,2,4,1,hycc,4356,544.0,0.774042046,0.0,0.041333064999999995,925884.9279999691,797602.3039999683,128282.62400000077,0.24592317600000002,0.332742,0.0416934,0.374436,0.326389,0.0459051,0.372294
5,lp+nm,biomatch,256,8,2,4,2,hycc,4356,544.0,0.784621397,0.0,0.04122108,925884.9279999691,797602.3039999683,128282.62400000077,0.210430118,0.339426,0.0401554,0.379581,0.331413,0.0466674,0.37808
