,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,12,4,2,0,hycc,34820,2901.0,5.967053542,0.246889044,0.16516813,7407079.423998631,6380818.431998585,1026260.992000045,10.631082263,0.676359,0.353244,1.0296,0.681027,0.347571,1.0286
1,lp,biomatch,2048,12,4,2,1,hycc,34820,2901.0,5.854773759,0.194012516,0.160670488,7407079.423998631,6380818.431998585,1026260.992000045,10.588236148,0.660707,0.343051,1.00376,0.657068,0.345344,1.00241
2,lp,biomatch,2048,12,4,2,2,hycc,34820,2901.0,5.699383843,0.214982449,0.16358578,7407079.423998631,6380818.431998585,1026260.992000045,10.708926253,0.671737,0.340951,1.01269,0.675352,0.338091,1.01344
3,lp+nm,biomatch,2048,12,4,2,0,hycc,34820,2901.0,8.977035936,0.0,0.159546713,7407079.423998631,6380818.431998585,1026260.992000045,10.437161368,0.725009,0.343426,1.06844,0.748427,0.320293,1.06872
4,lp+nm,biomatch,2048,12,4,2,1,hycc,34820,2901.0,9.213829778,0.0,0.15841849,7407079.423998631,6380818.431998585,1026260.992000045,10.59001962,0.706826,0.352414,1.05924,0.707919,0.350406,1.05832
5,lp+nm,biomatch,2048,12,4,2,2,hycc,34820,2901.0,8.984025222,0.0,0.163178156,7407079.423998631,6380818.431998585,1026260.992000045,10.451464266,0.702066,0.316754,1.01882,0.678844,0.33777,1.01661
