,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,4096,8,1,4,0,hycc,69636,8704.0,20.246943073,0.374419347,0.29367465499999995,14814158.848004585,12761636.864004437,2052521.984000148,44.304987593,1.02839,0.775121,1.80351,1.00084,0.801735,1.80258
1,lp,biomatch,4096,8,1,4,1,hycc,69636,8704.0,19.697566517,0.367895941,0.296153534,14814158.848004585,12761636.864004437,2052521.984000148,44.301275061,1.19144,0.680456,1.8719,1.17923,0.69155,1.87078
2,lp,biomatch,4096,8,1,4,2,hycc,69636,8704.0,19.990910671,0.37093416100000004,0.296684872,14814158.848004585,12761636.864004437,2052521.984000148,44.310929667,1.17944,0.694415,1.87386,1.15163,0.720947,1.87258
3,lp+nm,biomatch,4096,8,1,4,0,hycc,69636,8704.0,35.713563786,0.0,0.292643243,14814158.848004585,12761636.864004437,2052521.984000148,43.090883178,1.08751,0.629549,1.71706,1.03343,0.681201,1.71463
4,lp+nm,biomatch,4096,8,1,4,1,hycc,69636,8704.0,35.789007789,0.0,0.291915325,14814158.848004585,12761636.864004437,2052521.984000148,42.495206557,1.05642,0.679298,1.73572,1.04303,0.692114,1.73515
5,lp+nm,biomatch,4096,8,1,4,2,hycc,69636,8704.0,35.503529051,0.0,0.293907282,14814158.848004585,12761636.864004437,2052521.984000148,42.197390267,1.04391,0.632806,1.67671,1.01387,0.660315,1.67418
