,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,4,4,1,0,hycc,34820,8705.0,24.192088957,0.211437527,0.145863504,7407079.423998631,6380818.431998585,1026260.992000045,10.494724059,0.659868,0.335131,0.994999,0.68072,0.312766,0.993486
1,lp,biomatch,2048,4,4,1,1,hycc,34820,8705.0,23.111713296,0.202893435,0.140690339,7407079.423998631,6380818.431998585,1026260.992000045,10.517457852,0.707672,0.340998,1.04867,0.706151,0.341244,1.0474
2,lp,biomatch,2048,4,4,1,2,hycc,34820,8705.0,23.11459381,0.20872475499999998,0.145339827,7407079.423998631,6380818.431998585,1026260.992000045,10.402646007,0.679847,0.317349,0.997196,0.681323,0.31607,0.997393
3,lp+nm,biomatch,2048,4,4,1,0,hycc,34820,8705.0,25.067763365,0.0,0.145953154,7407079.423998631,6380818.431998585,1026260.992000045,10.557211363,0.678691,0.359826,1.03852,0.685242,0.352887,1.03813
4,lp+nm,biomatch,2048,4,4,1,1,hycc,34820,8705.0,25.550798023,0.0,0.14610683,7407079.423998631,6380818.431998585,1026260.992000045,10.736823563,0.685621,0.349021,1.03464,0.666594,0.367667,1.03426
5,lp+nm,biomatch,2048,4,4,1,2,hycc,34820,8705.0,25.778896178,0.0,0.145688878,7407079.423998631,6380818.431998585,1026260.992000045,10.91286157,0.675271,0.336589,1.01186,0.696129,0.316049,1.01218
