,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,num_nodes,avg_partition_size,ilp_time,comb_time,part_time,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time
0,lp,biomatch,2048,16,1,1,0,hycc,34820,2176.0,2.071021699,0.163017246,0.16476384200000002,7407079.423998631,6380818.431998585,1026260.992000045,10.785629899,0.657195,0.342451,0.999646,0.669442,0.330052,0.999495
1,lp,biomatch,2048,16,1,1,1,hycc,34820,2176.0,2.029977067,0.163714159,0.163036789,7407079.423998631,6380818.431998585,1026260.992000045,10.689457294,0.658843,0.336222,0.995065,0.679626,0.315764,0.99539
2,lp,biomatch,2048,16,1,1,2,hycc,34820,2176.0,2.090299332,0.15659600699999998,0.163750259,7407079.423998631,6380818.431998585,1026260.992000045,10.664428852,0.64755,0.314945,0.962495,0.619805,0.340527,0.960332
3,lp+nm,biomatch,2048,16,1,1,0,hycc,34820,2176.0,7.681807669,0.0,0.164881306,7407079.423998631,6380818.431998585,1026260.992000045,10.759516739,0.714522,0.340957,1.05548,0.694892,0.359831,1.05472
4,lp+nm,biomatch,2048,16,1,1,1,hycc,34820,2176.0,7.653900868,0.0,0.166789729,7407079.423998631,6380818.431998585,1026260.992000045,10.777594472,0.69953,0.351215,1.05075,0.699515,0.350642,1.05016
5,lp+nm,biomatch,2048,16,1,1,2,hycc,34820,2176.0,7.603035019,0.0,0.1645257,7407079.423998631,6380818.431998585,1026260.992000045,10.503771983,0.716704,0.360387,1.07709,0.708455,0.367656,1.07611
