,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,256,8,4,2,0,hycc,4182885.631999827,4182885.631999827,0.0,0.23606089900000002,3.47798,1.00755,4.48553,3.54492,0.940735,4.48566,4356.0,544.0,0.0,0.0,0.0
1,b,biomatch,256,8,4,2,1,hycc,4182885.631999827,4182885.631999827,0.0,0.236438323,3.35627,0.922972,4.27924,3.36169,0.916832,4.27852,4356.0,544.0,0.0,0.0,0.0
2,b,biomatch,256,8,4,2,2,hycc,4182885.631999827,4182885.631999827,0.0,0.24800931399999998,3.22825,0.920688,4.14894,3.28349,0.864693,4.14819,4356.0,544.0,0.0,0.0,0.0
3,y,biomatch,256,8,4,2,0,hycc,1146476.03199999,1146476.03199999,0.0,0.20683218,1.98889,0.843305,2.8322,1.96203,0.869867,2.83189,4356.0,544.0,0.0,0.0,0.0
4,y,biomatch,256,8,4,2,1,hycc,1146476.03199999,1146476.03199999,0.0,0.244182248,1.98239,0.935833,2.91823,2.01645,0.900668,2.91712,4356.0,544.0,0.0,0.0,0.0
5,y,biomatch,256,8,4,2,2,hycc,1146476.03199999,1146476.03199999,0.0,0.239792948,1.99732,0.889864,2.88719,1.95311,0.931949,2.88506,4356.0,544.0,0.0,0.0,0.0
6,a+b,biomatch,256,8,4,2,0,hycc,2296126.799999936,1867424.5119999296,428702.28800000745,0.244557055,0.546457,0.0616175,0.608075,0.546939,0.0601453,0.607084,4356.0,544.0,0.0,0.0,0.0
7,a+b,biomatch,256,8,4,2,1,hycc,2296126.7999999365,1867424.5119999296,428702.28800000675,0.209114694,0.51986,0.0530431,0.572903,0.512678,0.0582248,0.570903,4356.0,544.0,0.0,0.0,0.0
8,a+b,biomatch,256,8,4,2,2,hycc,2296126.799999936,1867424.5119999296,428702.28800000687,0.211768813,0.534624,0.054467,0.589091,0.528251,0.0587964,0.587047,4356.0,544.0,0.0,0.0,0.0
9,a+y,biomatch,256,8,4,2,0,hycc,2104147.1719999937,791531.0079999665,1312616.1640000301,0.214135017,2.40016,0.985687,3.38585,2.40335,0.980576,3.38392,4356.0,544.0,0.0,0.0,0.0
10,a+y,biomatch,256,8,4,2,1,hycc,2104147.171999999,791531.0079999665,1312616.1640000285,0.205866411,2.18431,0.917043,3.10135,2.13526,0.964617,3.09988,4356.0,544.0,0.0,0.0,0.0
11,a+y,biomatch,256,8,4,2,2,hycc,2104147.171999995,791531.0079999665,1312616.164000028,0.208076582,2.04734,0.926235,2.97357,2.064,0.910427,2.97443,4356.0,544.0,0.0,0.0,0.0
12,greedy,biomatch,256,8,4,2,0,hycc,2358966.0279999916,790806.0159999627,1568160.0120000332,0.206298834,2.30603,0.967592,3.27362,2.37223,0.898842,3.27107,4356.0,544.0,0.0,0.0,0.0
13,greedy,biomatch,256,8,4,2,1,hycc,2358966.0279999934,790806.0159999627,1568160.0120000339,0.241733768,1.99886,0.950558,2.94941,2.02326,0.924671,2.94793,4356.0,544.0,0.0,0.0,0.0
14,greedy,biomatch,256,8,4,2,2,hycc,2358966.027999997,790806.0159999627,1568160.0120000343,0.251861797,2.50548,1.03092,3.5364,2.52845,1.00693,3.53538,4356.0,544.0,0.0,0.0,0.0
15,lp,biomatch,256,8,4,2,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.252158871,0.327489,0.0398431,0.367332,0.327876,0.0392104,0.367086,4356.0,544.0,0.70497536,0.026032444999999998,0.039138508
16,lp,biomatch,256,8,4,2,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20198459600000002,0.334872,0.0472817,0.382154,0.334447,0.0468045,0.381251,4356.0,544.0,0.6786232999999999,0.028141727,0.042926831
17,lp,biomatch,256,8,4,2,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.23766680199999998,0.278919,0.0396256,0.318545,0.277372,0.0393032,0.316675,4356.0,544.0,0.654140575,0.025660389999999998,0.041801851
18,lp+nm,biomatch,256,8,4,2,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.206522356,0.310247,0.0412198,0.351467,0.309292,0.0403533,0.349646,4356.0,544.0,0.77979307,0.0,0.043777071
19,lp+nm,biomatch,256,8,4,2,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20830938699999998,0.339339,0.0399948,0.379334,0.330857,0.0460186,0.376875,4356.0,544.0,0.777949729,0.0,0.046119888000000005
20,lp+nm,biomatch,256,8,4,2,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.24424358499999999,0.337201,0.0427387,0.379939,0.338445,0.0416908,0.380135,4356.0,544.0,0.782946552,0.0,0.047067512
21,glp,biomatch,256,8,4,2,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.24631810999999998,0.334581,0.0470642,0.381645,0.334314,0.0469568,0.381271,4356.0,544.0,4.750398008,0.0,0.0
22,glp,biomatch,256,8,4,2,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.20873917,0.342264,0.0375685,0.379832,0.331336,0.0460117,0.377348,4356.0,544.0,4.733633747,0.0,0.0
23,glp,biomatch,256,8,4,2,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.211424278,0.339717,0.0407105,0.380427,0.331678,0.0461367,0.377814,4356.0,544.0,4.727813227,0.0,0.0
