,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,512,4,4,2,0,hycc,8365771.264000272,8365771.264000272,0.0,0.6728378199999999,7.01143,1.84026,8.85169,6.93394,1.91674,8.85067,8708.0,2177.0,0.0,0.0,0.0
1,b,biomatch,512,4,4,2,1,hycc,8365771.264000272,8365771.264000272,0.0,0.693242758,6.66717,1.89788,8.56505,6.70978,1.85522,8.565,8708.0,2177.0,0.0,0.0,0.0
2,b,biomatch,512,4,4,2,2,hycc,8365771.264000272,8365771.264000272,0.0,0.725373922,6.88109,1.85357,8.73467,6.88981,1.84453,8.73434,8708.0,2177.0,0.0,0.0,0.0
3,y,biomatch,512,4,4,2,0,hycc,2292952.064000215,2292952.064000215,0.0,0.672003249,3.80746,1.72281,5.53027,3.88145,1.65617,5.53762,8708.0,2177.0,0.0,0.0,0.0
4,y,biomatch,512,4,4,2,1,hycc,2292952.064000215,2292952.064000215,0.0,0.6760498229999999,4.11529,1.68886,5.80416,4.04829,1.75925,5.80754,8708.0,2177.0,0.0,0.0,0.0
5,y,biomatch,512,4,4,2,2,hycc,2292952.064000215,2292952.064000215,0.0,0.668758065,3.05006,1.66282,4.71288,3.02819,1.69267,4.72086,8708.0,2177.0,0.0,0.0,0.0
6,a+b,biomatch,512,4,4,2,0,hycc,4590910.543999975,3734849.0239999914,856061.5199999835,0.657088484,0.77816,0.102961,0.881121,0.766865,0.114049,0.880914,8708.0,2177.0,0.0,0.0,0.0
7,a+b,biomatch,512,4,4,2,1,hycc,4590910.543999974,3734849.0239999914,856061.5199999835,0.6554792639999999,0.824398,0.104439,0.928837,0.810617,0.115758,0.926375,8708.0,2177.0,0.0,0.0,0.0
8,a+b,biomatch,512,4,4,2,2,hycc,4590910.543999974,3734849.0239999914,856061.5199999842,0.769359859,0.756528,0.107076,0.863604,0.7614,0.10183,0.86323,8708.0,2177.0,0.0,0.0,0.0
9,a+y,biomatch,512,4,4,2,0,hycc,4206985.955999967,1583062.0159998538,2623923.940000113,0.6719193320000001,4.23028,1.84972,6.08001,4.23735,1.84871,6.08606,8708.0,2177.0,0.0,0.0,0.0
10,a+y,biomatch,512,4,4,2,1,hycc,4206985.955999959,1583062.0159998538,2623923.9400001103,0.645963384,4.34068,1.81206,6.15274,4.38345,1.77783,6.16128,8708.0,2177.0,0.0,0.0,0.0
11,a+y,biomatch,512,4,4,2,2,hycc,4206985.955999965,1583062.0159998538,2623923.9400001178,0.685833803,4.15156,1.79359,5.94514,4.18092,1.77492,5.95584,8708.0,2177.0,0.0,0.0,0.0
12,greedy,biomatch,512,4,4,2,0,hycc,4716907.787999834,1581612.0319998565,3135295.755999972,0.685681227,5.24892,1.82257,7.07149,5.3,1.776,7.07599,8708.0,2177.0,0.0,0.0,0.0
13,greedy,biomatch,512,4,4,2,1,hycc,4716907.787999832,1581612.0319998565,3135295.7559999763,0.679589762,4.35028,1.76109,6.11137,4.3066,1.80957,6.11617,8708.0,2177.0,0.0,0.0,0.0
14,greedy,biomatch,512,4,4,2,2,hycc,4716907.787999826,1581612.0319998565,3135295.755999972,0.672199266,4.85362,1.8212,6.67482,4.89036,1.78803,6.67838,8708.0,2177.0,0.0,0.0,0.0
15,lp,biomatch,512,4,4,2,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6728936240000001,0.404184,0.075919,0.480103,0.391931,0.0865133,0.478444,8708.0,2177.0,2.470727783,0.040759725000000004,0.054571871
16,lp,biomatch,512,4,4,2,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.644800974,0.362361,0.075909,0.43827,0.360556,0.0754158,0.435972,8708.0,2177.0,2.504397093,0.050795718999999996,0.050421208999999995
17,lp,biomatch,512,4,4,2,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.666286825,0.387151,0.0757229,0.462874,0.388849,0.0749646,0.463814,8708.0,2177.0,2.525456197,0.040410575000000004,0.055954475000000004
18,lp+nm,biomatch,512,4,4,2,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.687215951,0.400118,0.0890593,0.489178,0.409233,0.0800515,0.489284,8708.0,2177.0,2.921579881,0.0,0.057739244
19,lp+nm,biomatch,512,4,4,2,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.6510661179999999,0.403071,0.0865031,0.489574,0.411227,0.0785546,0.489782,8708.0,2177.0,2.928622314,0.0,0.057793581000000004
20,lp+nm,biomatch,512,4,4,2,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.657720441,0.408298,0.0780221,0.486321,0.395713,0.0897067,0.48542,8708.0,2177.0,2.926034788,0.0,0.051752208
21,glp,biomatch,512,4,4,2,0,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.695327851,0.407694,0.0898165,0.497511,0.405715,0.0912802,0.496995,8708.0,2177.0,18.796317491,0.0,0.0
22,glp,biomatch,512,4,4,2,1,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.684396425,0.407477,0.078283,0.48576,0.395405,0.0895743,0.484979,8708.0,2177.0,18.810404888,0.0,0.0
23,glp,biomatch,512,4,4,2,2,hycc,1851769.8559998586,1595204.6079998598,256565.24799999883,0.683259745,0.409342,0.0780407,0.487383,0.396307,0.0886275,0.484934,8708.0,2177.0,18.731770084,0.0,0.0
