,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,12,4,4,0,hycc,16731542.52799736,16731542.52799736,0.0,2.359654534,10.3814,3.99164,14.373,10.5204,3.85009,14.3704,17412.0,1451.0,0.0,0.0,0.0
1,b,biomatch,1024,12,4,4,1,hycc,16731542.52799736,16731542.52799736,0.0,2.364846675,10.6496,3.91182,14.5615,10.6803,3.8789,14.5592,17412.0,1451.0,0.0,0.0,0.0
2,b,biomatch,1024,12,4,4,2,hycc,16731542.52799736,16731542.52799736,0.0,2.362423006,10.7932,3.93223,14.7254,10.7676,3.95646,14.7241,17412.0,1451.0,0.0,0.0,0.0
3,y,biomatch,1024,12,4,4,0,hycc,4585904.128000693,4585904.128000693,0.0,2.340849048,5.62995,3.46426,9.09421,5.45635,3.64878,9.10513,17412.0,1451.0,0.0,0.0,0.0
4,y,biomatch,1024,12,4,4,1,hycc,4585904.128000693,4585904.128000693,0.0,2.375645403,5.68698,3.47934,9.16632,5.56687,3.61683,9.18371,17412.0,1451.0,0.0,0.0,0.0
5,y,biomatch,1024,12,4,4,2,hycc,4585904.128000693,4585904.128000693,0.0,2.316920788,5.58413,3.59429,9.17842,5.64204,3.53847,9.18051,17412.0,1451.0,0.0,0.0,0.0
6,a+b,biomatch,1024,12,4,4,0,hycc,9180478.03199928,7469698.047999324,1710779.9839999506,2.331547071,1.19625,0.232682,1.42893,1.19573,0.232273,1.42801,17412.0,1451.0,0.0,0.0,0.0
7,a+b,biomatch,1024,12,4,4,1,hycc,9180478.031999283,7469698.047999324,1710779.983999957,2.411820068,1.1744,0.248584,1.42299,1.20213,0.220346,1.42248,17412.0,1451.0,0.0,0.0,0.0
8,a+b,biomatch,1024,12,4,4,2,hycc,9180478.031999283,7469698.047999324,1710779.9839999552,2.395380693,1.20805,0.204928,1.41297,1.19204,0.218856,1.4109,17412.0,1451.0,0.0,0.0,0.0
9,a+y,biomatch,1024,12,4,4,0,hycc,8412663.524000373,3166124.03199997,5246539.492000389,2.35065802,6.29033,3.80181,10.0921,6.35816,3.74767,10.1058,17412.0,1451.0,0.0,0.0,0.0
10,a+y,biomatch,1024,12,4,4,1,hycc,8412663.524000382,3166124.03199997,5246539.4920004,2.375984337,6.29948,3.75806,10.0575,6.24428,3.82249,10.0668,17412.0,1451.0,0.0,0.0,0.0
11,a+y,biomatch,1024,12,4,4,2,hycc,8412663.524000376,3166124.03199997,5246539.492000398,2.331193495,6.29374,3.84374,10.1375,6.44684,3.70371,10.1505,17412.0,1451.0,0.0,0.0,0.0
12,greedy,biomatch,1024,12,4,4,0,hycc,9432791.30800077,3163224.064000005,6269567.244000722,2.352871422,6.62207,3.85531,10.4774,6.7028,3.77483,10.4776,17412.0,1451.0,0.0,0.0,0.0
13,greedy,biomatch,1024,12,4,4,1,hycc,9432791.308000747,3163224.064000005,6269567.244000725,2.34337449,6.55346,3.78387,10.3373,6.50454,3.83305,10.3376,17412.0,1451.0,0.0,0.0,0.0
14,greedy,biomatch,1024,12,4,4,2,hycc,9432791.308000762,3163224.064000005,6269567.244000761,2.325557674,6.69424,3.68365,10.3779,6.58115,3.79985,10.381,17412.0,1451.0,0.0,0.0,0.0
15,lp,biomatch,1024,12,4,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.362277243,0.426217,0.152165,0.578382,0.425833,0.152206,0.578038,17412.0,1451.0,1.917649364,0.083977311,0.100177653
16,lp,biomatch,1024,12,4,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.294416522,0.443223,0.153471,0.596695,0.444272,0.151906,0.596178,17412.0,1451.0,1.981815034,0.08639659799999999,0.096521275
17,lp,biomatch,1024,12,4,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.378095185,0.433255,0.153722,0.586977,0.432837,0.152217,0.585054,17412.0,1451.0,1.884753644,0.086210017,0.083986469
18,lp+nm,biomatch,1024,12,4,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.36378272,0.508897,0.185815,0.694712,0.510619,0.183158,0.693777,17412.0,1451.0,3.52267956,0.0,0.086735621
19,lp+nm,biomatch,1024,12,4,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.329450335,0.525301,0.155421,0.680722,0.502227,0.176088,0.678316,17412.0,1451.0,3.525705072,0.0,0.084908952
20,lp+nm,biomatch,1024,12,4,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.353093962,0.510164,0.178039,0.688203,0.532781,0.155841,0.688623,17412.0,1451.0,3.518335185,0.0,0.09904769000000001
21,glp,biomatch,1024,12,4,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.361152213,0.503306,0.18726,0.690566,0.505203,0.185577,0.690779,17412.0,1451.0,29.361075256,0.0,0.0
22,glp,biomatch,1024,12,4,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.363949034,0.513624,0.155202,0.668826,0.492546,0.173769,0.666315,17412.0,1451.0,29.285106937,0.0,0.0
23,glp,biomatch,1024,12,4,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.366465889,0.528283,0.154606,0.682889,0.505678,0.174818,0.680496,17412.0,1451.0,29.351148533,0.0,0.0
