,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,4,2,4,0,hycc,16731542.52799736,16731542.52799736,0.0,2.364794479,10.5322,3.88229,14.4145,10.6629,3.74858,14.4114,17412.0,4353.0,0.0,0.0,0.0
1,b,biomatch,1024,4,2,4,1,hycc,16731542.52799736,16731542.52799736,0.0,2.369542296,10.508,3.88518,14.3931,10.4669,3.92367,14.3906,17412.0,4353.0,0.0,0.0,0.0
2,b,biomatch,1024,4,2,4,2,hycc,16731542.52799736,16731542.52799736,0.0,2.367985935,10.4291,3.87227,14.3013,10.5551,3.74284,14.2979,17412.0,4353.0,0.0,0.0,0.0
3,y,biomatch,1024,4,2,4,0,hycc,4585904.128000693,4585904.128000693,0.0,2.362077619,5.44266,3.51505,8.95771,5.4418,3.52873,8.97053,17412.0,4353.0,0.0,0.0,0.0
4,y,biomatch,1024,4,2,4,1,hycc,4585904.128000693,4585904.128000693,0.0,2.350897587,5.29396,3.58394,8.87789,5.39428,3.49712,8.8914,17412.0,4353.0,0.0,0.0,0.0
5,y,biomatch,1024,4,2,4,2,hycc,4585904.128000693,4585904.128000693,0.0,2.363854376,5.41563,3.58693,9.00256,5.4415,3.57408,9.01557,17412.0,4353.0,0.0,0.0,0.0
6,a+b,biomatch,1024,4,2,4,0,hycc,9180478.031999283,7469698.047999324,1710779.9839999566,2.334414338,1.24225,0.23608,1.47833,1.24926,0.228563,1.47782,17412.0,4353.0,0.0,0.0,0.0
7,a+b,biomatch,1024,4,2,4,1,hycc,9180478.031999283,7469698.047999324,1710779.9839999545,2.338860415,1.24891,0.225648,1.47456,1.27694,0.19805,1.47499,17412.0,4353.0,0.0,0.0,0.0
8,a+b,biomatch,1024,4,2,4,2,hycc,9180478.031999284,7469698.047999324,1710779.9839999564,2.344725614,1.21894,0.225447,1.44438,1.24451,0.199258,1.44377,17412.0,4353.0,0.0,0.0,0.0
9,a+y,biomatch,1024,4,2,4,0,hycc,8412663.524000362,3166124.03199997,5246539.492000403,2.343553981,6.23088,3.79128,10.0222,6.32986,3.70665,10.0365,17412.0,4353.0,0.0,0.0,0.0
10,a+y,biomatch,1024,4,2,4,1,hycc,8412663.524000363,3166124.03199997,5246539.492000393,2.304584205,6.29733,3.77321,10.0705,6.26451,3.81956,10.0841,17412.0,4353.0,0.0,0.0,0.0
11,a+y,biomatch,1024,4,2,4,2,hycc,8412663.524000375,3166124.03199997,5246539.492000389,2.32657618,6.52328,3.65563,10.1789,6.35342,3.83644,10.1899,17412.0,4353.0,0.0,0.0,0.0
12,greedy,biomatch,1024,4,2,4,0,hycc,9432791.30800076,3163224.064000005,6269567.244000757,2.322528281,6.68354,3.78692,10.4705,6.79457,3.67927,10.4738,17412.0,4353.0,0.0,0.0,0.0
13,greedy,biomatch,1024,4,2,4,1,hycc,9432791.308000764,3163224.064000005,6269567.244000744,2.333432603,6.64568,3.78999,10.4357,6.58035,3.85904,10.4394,17412.0,4353.0,0.0,0.0,0.0
14,greedy,biomatch,1024,4,2,4,2,hycc,9432791.308000743,3163224.064000005,6269567.2440007925,2.335429894,6.52057,3.92036,10.4409,6.68578,3.75995,10.4457,17412.0,4353.0,0.0,0.0,0.0
15,lp,biomatch,1024,4,2,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.446220332,0.499033,0.174943,0.673976,0.517708,0.155469,0.673177,17412.0,4353.0,8.015145169,0.098498006,0.083991067
16,lp,biomatch,1024,4,2,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.3130741,0.531054,0.156504,0.687558,0.513845,0.172927,0.686772,17412.0,4353.0,7.997371051,0.10294297799999999,0.07610734999999999
17,lp,biomatch,1024,4,2,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.376136047,0.495339,0.18566,0.680999,0.494025,0.186246,0.680271,17412.0,4353.0,7.828556385,0.104012936,0.086654177
18,lp+nm,biomatch,1024,4,2,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.32461186,0.526362,0.151372,0.677734,0.497885,0.177689,0.675574,17412.0,4353.0,8.373984949,0.0,0.078453311
19,lp+nm,biomatch,1024,4,2,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.318766551,0.518183,0.154333,0.672516,0.49486,0.175138,0.669998,17412.0,4353.0,8.361818862,0.0,0.082591485
20,lp+nm,biomatch,1024,4,2,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.372833476,0.520205,0.155152,0.675356,0.498074,0.174691,0.672765,17412.0,4353.0,8.372583217,0.0,0.081790704
21,glp,biomatch,1024,4,2,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.332898025,0.519296,0.153775,0.673071,0.496395,0.174279,0.670675,17412.0,4353.0,29.17871348,0.0,0.0
22,glp,biomatch,1024,4,2,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.360138195,0.503383,0.181007,0.684389,0.49954,0.184501,0.68404,17412.0,4353.0,29.179826103,0.0,0.0
23,glp,biomatch,1024,4,2,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.309645262,0.520747,0.154039,0.674786,0.497674,0.175256,0.672929,17412.0,4353.0,29.153667192,0.0,0.0
