,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,1024,16,4,4,0,hycc,16731542.52799736,16731542.52799736,0.0,2.321545287,10.7212,3.82294,14.5441,10.6418,3.90258,14.5444,17412.0,1088.0,0.0,0.0,0.0
1,b,biomatch,1024,16,4,4,1,hycc,16731542.52799736,16731542.52799736,0.0,2.364466733,10.5104,3.99181,14.5022,10.6612,3.83802,14.4992,17412.0,1088.0,0.0,0.0,0.0
2,b,biomatch,1024,16,4,4,2,hycc,16731542.52799736,16731542.52799736,0.0,2.342881185,10.7114,4.01113,14.7225,10.7557,3.96457,14.7203,17412.0,1088.0,0.0,0.0,0.0
3,y,biomatch,1024,16,4,4,0,hycc,4585904.128000693,4585904.128000693,0.0,2.31719939,5.5136,3.57886,9.09246,5.55053,3.54128,9.09181,17412.0,1088.0,0.0,0.0,0.0
4,y,biomatch,1024,16,4,4,1,hycc,4585904.128000693,4585904.128000693,0.0,2.391562971,5.56489,3.60048,9.16537,5.647,3.5221,9.16911,17412.0,1088.0,0.0,0.0,0.0
5,y,biomatch,1024,16,4,4,2,hycc,4585904.128000693,4585904.128000693,0.0,2.34871693,5.49484,3.53986,9.0347,5.46647,3.58219,9.04867,17412.0,1088.0,0.0,0.0,0.0
6,a+b,biomatch,1024,16,4,4,0,hycc,9180478.031999279,7469698.047999324,1710779.9839999594,2.356591831,1.22542,0.216899,1.44232,1.21269,0.228835,1.44152,17412.0,1088.0,0.0,0.0,0.0
7,a+b,biomatch,1024,16,4,4,1,hycc,9180478.031999283,7469698.047999324,1710779.9839999566,2.29966849,1.28444,0.206314,1.49075,1.27058,0.217602,1.48818,17412.0,1088.0,0.0,0.0,0.0
8,a+b,biomatch,1024,16,4,4,2,hycc,9180478.03199928,7469698.047999324,1710779.9839999576,2.321905411,1.20628,0.219403,1.42568,1.19072,0.232388,1.42311,17412.0,1088.0,0.0,0.0,0.0
9,a+y,biomatch,1024,16,4,4,0,hycc,8412663.524000369,3166124.03199997,5246539.492000388,2.384434028,6.24308,3.82117,10.0642,6.38505,3.68815,10.0732,17412.0,1088.0,0.0,0.0,0.0
10,a+y,biomatch,1024,16,4,4,1,hycc,8412663.524000358,3166124.03199997,5246539.492000406,2.34614024,6.15934,3.80962,9.96895,6.25773,3.72425,9.98198,17412.0,1088.0,0.0,0.0,0.0
11,a+y,biomatch,1024,16,4,4,2,hycc,8412663.524000369,3166124.03199997,5246539.492000407,2.299099349,6.34285,3.71418,10.057,6.24268,3.82682,10.0695,17412.0,1088.0,0.0,0.0,0.0
12,greedy,biomatch,1024,16,4,4,0,hycc,9432791.308000742,3163224.064000005,6269567.244000804,2.321995505,6.54588,3.82227,10.3681,6.6999,3.67155,10.3715,17412.0,1088.0,0.0,0.0,0.0
13,greedy,biomatch,1024,16,4,4,1,hycc,9432791.308000773,3163224.064000005,6269567.244000747,2.313109246,6.63219,3.77558,10.4078,6.58104,3.83094,10.412,17412.0,1088.0,0.0,0.0,0.0
14,greedy,biomatch,1024,16,4,4,2,hycc,9432791.308000766,3163224.064000005,6269567.2440007655,2.356782204,6.65178,3.691,10.3428,6.48611,3.85844,10.3446,17412.0,1088.0,0.0,0.0,0.0
15,lp,biomatch,1024,16,4,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.36192443,0.435861,0.151118,0.586979,0.43074,0.155087,0.585827,17412.0,1088.0,1.665016322,0.08599937099999999,0.103784214
16,lp,biomatch,1024,16,4,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.302479262,0.437648,0.157854,0.595502,0.437675,0.157799,0.595474,17412.0,1088.0,1.633559068,0.117236542,0.099593242
17,lp,biomatch,1024,16,4,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.354745218,0.431975,0.155505,0.58748,0.431677,0.155104,0.586781,17412.0,1088.0,1.616161,0.08526021,0.090743119
18,lp+nm,biomatch,1024,16,4,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.373159115,0.522774,0.15314,0.675914,0.501078,0.172571,0.67365,17412.0,1088.0,3.181687321,0.0,0.09899388299999999
19,lp+nm,biomatch,1024,16,4,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.326684839,0.515723,0.152517,0.66824,0.492063,0.173975,0.666037,17412.0,1088.0,3.172997019,0.0,0.100327866
20,lp+nm,biomatch,1024,16,4,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.317648841,0.526371,0.154424,0.680795,0.505637,0.172805,0.678442,17412.0,1088.0,3.172702653,0.0,0.10178118700000001
21,glp,biomatch,1024,16,4,4,0,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.30644691,0.508133,0.171609,0.679742,0.526871,0.153235,0.680106,17412.0,1088.0,28.704947626,0.0,0.0
22,glp,biomatch,1024,16,4,4,1,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.311055223,0.500538,0.175679,0.676217,0.522469,0.15409,0.676559,17412.0,1088.0,28.734941705,0.0,0.0
23,glp,biomatch,1024,16,4,4,2,hycc,3703539.711999983,3190409.2159999884,513130.4959999948,2.357730893,0.515991,0.153711,0.669702,0.494193,0.173252,0.667446,17412.0,1088.0,29.085027645,0.0,0.0
