,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,256,16,4,1,0,hycc,4182885.631999827,4182885.631999827,0.0,0.269955685,3.66166,0.988433,4.65009,3.71886,0.930509,4.64937,4356.0,272.0,0.0,0.0,0.0
1,b,biomatch,256,16,4,1,1,hycc,4182885.631999827,4182885.631999827,0.0,0.201890257,3.25454,0.892653,4.14719,3.26027,0.886436,4.14671,4356.0,272.0,0.0,0.0,0.0
2,b,biomatch,256,16,4,1,2,hycc,4182885.631999827,4182885.631999827,0.0,0.247042799,3.67985,1.12,4.79985,3.66771,1.13064,4.79834,4356.0,272.0,0.0,0.0,0.0
3,y,biomatch,256,16,4,1,0,hycc,1146476.03199999,1146476.03199999,0.0,0.23306718,1.56887,0.894139,2.46301,1.55436,0.908361,2.46272,4356.0,272.0,0.0,0.0,0.0
4,y,biomatch,256,16,4,1,1,hycc,1146476.03199999,1146476.03199999,0.0,0.20404952599999998,1.50958,0.828521,2.3381,1.50863,0.829583,2.33822,4356.0,272.0,0.0,0.0,0.0
5,y,biomatch,256,16,4,1,2,hycc,1146476.03199999,1146476.03199999,0.0,0.237587897,1.95172,0.880679,2.8324,1.89796,0.933446,2.8314,4356.0,272.0,0.0,0.0,0.0
6,a+b,biomatch,256,16,4,1,0,hycc,2296126.7999999365,1867424.5119999296,428702.2880000068,0.23722682699999997,0.501085,0.0626485,0.563734,0.509709,0.054114,0.563823,4356.0,272.0,0.0,0.0,0.0
7,a+b,biomatch,256,16,4,1,1,hycc,2296126.7999999365,1867424.5119999296,428702.28800000664,0.20819507999999998,0.527447,0.0546051,0.582052,0.528345,0.0528574,0.581202,4356.0,272.0,0.0,0.0,0.0
8,a+b,biomatch,256,16,4,1,2,hycc,2296126.7999999356,1867424.5119999296,428702.2880000068,0.21732195899999998,0.535255,0.0536927,0.588948,0.530302,0.0576756,0.587978,4356.0,272.0,0.0,0.0,0.0
9,a+y,biomatch,256,16,4,1,0,hycc,2104147.1719999975,791531.0079999665,1312616.1640000292,0.259681732,1.87268,0.996889,2.86957,1.92199,0.945594,2.86758,4356.0,272.0,0.0,0.0,0.0
10,a+y,biomatch,256,16,4,1,1,hycc,2104147.171999993,791531.0079999665,1312616.164000029,0.209967136,1.82987,0.927129,2.757,1.84508,0.911128,2.75621,4356.0,272.0,0.0,0.0,0.0
11,a+y,biomatch,256,16,4,1,2,hycc,2104147.1719999947,791531.0079999665,1312616.1640000322,0.213813348,2.5219,1.03863,3.56053,2.55589,1.00511,3.561,4356.0,272.0,0.0,0.0,0.0
12,greedy,biomatch,256,16,4,1,0,hycc,2358966.027999995,790806.0159999627,1568160.0120000343,0.244046628,2.25399,0.962428,3.21641,2.2621,0.953204,3.2153,4356.0,272.0,0.0,0.0,0.0
13,greedy,biomatch,256,16,4,1,1,hycc,2358966.027999997,790806.0159999627,1568160.0120000308,0.209404554,2.06734,0.973936,3.04128,2.10754,0.934129,3.04167,4356.0,272.0,0.0,0.0,0.0
14,greedy,biomatch,256,16,4,1,2,hycc,2358966.027999995,790806.0159999627,1568160.0120000297,0.248374767,2.32182,0.973687,3.29551,2.35969,0.9353,3.29499,4356.0,272.0,0.0,0.0,0.0
15,lp,biomatch,256,16,4,1,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.208122152,0.351393,0.0502652,0.401658,0.351877,0.0487833,0.40066,4356.0,272.0,1.013703866,0.02945439,0.056973472000000004
16,lp,biomatch,256,16,4,1,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.210030451,0.333364,0.0413151,0.374679,0.327314,0.0453941,0.372708,4356.0,272.0,1.015625997,0.034319764,0.054135764
17,lp,biomatch,256,16,4,1,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.210087613,0.336893,0.0494466,0.38634,0.335079,0.0502858,0.385365,4356.0,272.0,1.014025596,0.035021569999999995,0.051277487999999996
18,lp+nm,biomatch,256,16,4,1,0,hycc,927277.3509999689,797992.5189999682,129284.83200000078,0.251349476,0.337025,0.0464786,0.383504,0.342935,0.0402239,0.383159,4356.0,272.0,0.617933759,0.0,0.055905371
19,lp+nm,biomatch,256,16,4,1,1,hycc,927277.3509999689,797992.5189999682,129284.83200000078,0.20403754000000002,0.336588,0.0464949,0.383083,0.342839,0.0395626,0.382402,4356.0,272.0,0.6325742360000001,0.0,0.054058413
20,lp+nm,biomatch,256,16,4,1,2,hycc,927277.3509999689,797992.5189999682,129284.83200000078,0.221656594,0.332434,0.0468115,0.379246,0.339466,0.0401717,0.379638,4356.0,272.0,0.6176451919999999,0.0,0.056324047
21,glp,biomatch,256,16,4,1,0,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.215473232,0.332017,0.0437738,0.375791,0.336233,0.0398334,0.376067,4356.0,272.0,4.85913143,0.0,0.0
22,glp,biomatch,256,16,4,1,1,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.212992033,0.338071,0.0461662,0.384237,0.345135,0.0395087,0.384644,4356.0,272.0,4.851503486,0.0,0.0
23,glp,biomatch,256,16,4,1,2,hycc,925884.9279999691,797602.3039999683,128282.62400000077,0.244653445,0.341455,0.0382819,0.379737,0.33149,0.0459786,0.377469,4356.0,272.0,4.801001902,0.0,0.0
