,test_case,minimization_time,input_size,cost_model,variant,module_bundle_time,selection_time,runner,run,server_load_time,server_exec_time,client_load_time,client_exec_time,selection_scheme
0,biomatch,60,512,hycc,,0.0,0.0,CIRCUIT-SIM,0,4.88471,12.2471,,,
1,biomatch,60,512,hycc,,0.0,0.0,CIRCUIT-SIM,1,4.87187,12.2229,,,
2,biomatch,60,512,hycc,,0.0,0.0,ABY-HYCC,2,4.8925,12.193,,,
3,biomatch,60,512,hycc,,0.0,0.0,ABY-HYCC,0,20.4098,2.8269,21.0542,2.17742,
4,biomatch,60,512,hycc,,0.0,0.0,ABY-HYCC,1,20.8811,2.45968,20.3063,3.03128,
5,biomatch,60,512,hycc,,0.0,0.0,ABY-HYCC,2,21.2932,2.33533,20.22,3.40534,
6,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,0,38.232,3.00731,39.5083,1.72989,yaonly
7,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,1,39.7712,1.91178,37.6915,3.9885,yaonly
8,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,2,38.3507,3.09356,39.595,1.84642,yaonly
9,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,0,0.70914,0.454767,0.801677,0.359249,yaohybrid
10,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,1,0.724565,0.442675,0.776783,0.387191,yaohybrid
11,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,2,0.81313,0.390935,0.741372,0.459663,yaohybrid
12,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,0,36.6041,2.62497,35.1055,4.12045,gmwonly
13,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,1,35.1807,4.35121,36.7649,2.76265,gmwonly
14,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,2,36.7765,2.73596,35.1598,4.34973,gmwonly
15,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,0,0.794321,0.535532,0.871481,0.454019,gmwhybrid
16,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,1,0.861523,0.459715,0.789983,0.528031,gmwhybrid
17,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,2,0.833365,0.457223,0.760715,0.527296,gmwhybrid
18,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,0,1.38778,0.454831,1.21697,0.623154,ps_optimized
19,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,1,1.31995,0.469377,1.19858,0.58692,ps_optimized
20,biomatch,60,512,hycc,['--all-variants'],0.02754068374633789,4.2295026779174805,ABY-HYCC,2,1.31236,0.444657,1.18678,0.567864,ps_optimized
