,1,2,3,4,5,6,7,8,9,10
gcd,0.26269,0.261151,0.259776,0.260235,0.262289,0.283413,0.273813,0.259965,0.259858,0.260277
histogram,0.870881,0.861546,0.86343,0.854012,0.857464,0.853854,0.861996,0.852805,0.858541,0.857822
biomatch,0.268149,0.264066,0.263941,0.264735,0.280094,0.265983,0.280899,0.263424,0.26441,0.27438
kmeans,0.665424,0.656633,0.663202,0.656551,0.667537,0.667684,0.667602,0.666967,0.668179,0.659779
gauss,0.317118,0.34115,0.326931,0.33348,0.331947,0.320163,0.327169,0.336811,0.320816,0.33311
db_join2,0.428032,0.431834,0.432579,0.430271,0.426454,0.430009,0.420136,0.42347,0.4227,0.433128
db_merge,0.226129,0.23051,0.228059,0.230466,0.235739,0.233001,0.229055,0.229241,0.219964,0.229094
mnist,,,,,,,,,,
cryptonets,0.803789,0.793581,0.789807,0.791843,0.812644,0.785627,0.792648,0.794822,0.805645,0.790128
