,1,2,3,4,5,6,7,8,9,10
gcd,0.866159,0.863139,0.863523,0.864467,0.866781,0.865014,0.866558,0.863663,0.866446,0.865547
histogram,1.90229,1.89933,1.90914,1.81818,1.95461,1.96226,1.85888,1.99802,1.912,2.0213
biomatch,1.24987,1.20113,1.29723,1.25153,1.25022,1.24507,1.29256,1.24851,1.29776,1.25293
kmeans,2.58129,2.72368,2.58092,2.52913,2.62392,2.5317,2.62384,2.67242,2.6753,2.61974
gauss,0.97057,1.0193,0.972504,1.01869,0.971638,0.971561,0.968863,1.01621,0.97234,0.971439
db_join2,1.85361,1.82501,1.77222,1.76762,1.68461,1.71155,1.74366,1.85294,1.71689,1.67752
db_merge,0.929951,0.930357,0.930042,0.928701,0.92939,0.929638,0.929047,0.928447,0.928926,0.929484
mnist,,,,,,,,,,
cryptonets,2.51375,2.40721,2.50501,2.35369,2.43512,2.42639,2.59297,2.40267,2.49664,2.46509
