,1,2,3,4,5,6,7,8,9,10
gcd,0.86777,0.866258,0.867021,0.868753,0.863646,0.865208,0.864037,0.865568,0.863101,0.866587
histogram,1.86761,1.83042,1.95974,1.99996,1.90919,1.94209,1.94837,1.99262,1.80366,1.86928
biomatch,1.3437,1.29686,1.29794,1.20244,1.25179,1.39146,1.29463,1.38543,1.29625,1.24856
kmeans,2.66795,2.63888,2.73098,2.68328,2.6381,2.58688,2.59114,2.59442,2.68385,2.67183
gauss,0.97552,0.972744,0.973999,0.975855,1.01964,0.971102,0.969255,0.973116,0.975841,0.972437
db_join2,3.17558,3.28561,3.27875,3.45956,3.28166,3.36726,3.18658,3.30205,3.40205,3.11951
db_merge,1.02546,1.02408,1.0256,1.02689,1.02591,1.02571,1.02536,1.0264,1.02503,1.02678
mnist,9.51236,10.0925,10.3721,9.7173,10.1529,10.337,10.261,9.75931,10.1685,10.4837
cryptonets,2.44964,2.47373,2.4086,2.5236,2.43092,2.49035,2.3671,2.48099,2.40595,2.41418
