,1,2,3,4,5,6,7,8,9,10
gcd,0.259994,0.271376,0.260179,0.258496,0.258518,0.25923,0.264624,0.259604,0.25636,0.262966
histogram,0.87146,0.852284,0.877504,0.875582,0.861108,0.875234,0.858618,0.90248,0.868331,0.870002
biomatch,0.267781,0.265774,0.264982,0.268726,0.263892,0.26535,0.265105,0.264277,0.271942,0.282971
kmeans,0.660962,0.663774,0.662095,0.658756,0.657381,0.647114,0.676515,0.663162,0.676441,0.665746
gauss,0.324363,0.330343,0.331717,0.334494,0.320375,0.325847,0.321617,0.341395,0.334447,0.321953
db_join2,0.424808,0.431706,0.4257,0.428349,0.437428,0.430869,0.427208,0.428822,0.423137,0.435266
db_merge,0.227306,0.22758,0.22853,0.22831,0.250107,0.229325,0.228021,0.226415,0.235242,0.228987
mnist,5.21417,5.22931,5.26299,5.14394,5.22997,5.17347,5.22679,5.09357,5.19182,5.11326
cryptonets,0.794692,0.774727,0.781611,0.771096,0.803334,0.780475,0.807396,0.791431,0.801132,0.796109
